Early embryo	Middle embryo	Late embryo	Larva	Pupae.Adult
FBgn0035721	FBgn0261356	FBgn0002917	FBgn0262148	FBgn0030937
FBgn0027378	FBgn0031077	FBgn0032435	FBgn0053688	FBgn0033168
FBgn0004837	FBgn0032138	FBgn0051051	FBgn0030586	FBgn0037307
FBgn0020407	FBgn0034243	FBgn0035719	FBgn0063127	FBgn0031844
FBgn0032293	FBgn0053099	FBgn0034797	FBgn0000152	FBgn0052462
FBgn0030093	FBgn0025366	FBgn0029864	FBgn0063083	FBgn0036222
FBgn0261573	FBgn0261284	FBgn0035379	FBgn0085765	FBgn0051115
FBgn0261789	FBgn0038597	FBgn0052815	FBgn0037975	FBgn0034374
FBgn0035872	FBgn0054007	FBgn0259242	FBgn0262823	FBgn0033344
FBgn0039186	FBgn0011656	FBgn0035756	FBgn0261630	FBgn0032072
FBgn0023130	FBgn0004895	FBgn0050361	FBgn0052448	FBgn0052847
FBgn0027949	FBgn0051002	FBgn0034717	FBgn0028396	FBgn0038690
FBgn0037199	FBgn0014949	FBgn0031064	FBgn0028939	FBgn0031301
FBgn0011586	FBgn0026879	FBgn0083977	FBgn0031470	FBgn0067861
FBgn0026015	FBgn0005771	FBgn0051675	FBgn0035663	FBgn0032369
FBgn0011640	FBgn0010220	FBgn0038153	FBgn0052279	FBgn0031345
FBgn0011766	FBgn0001942	FBgn0010383	FBgn0053120	FBgn0035069
FBgn0040466	FBgn0053645	FBgn0034030	FBgn0031143	FBgn0031201
FBgn0019637	FBgn0035257	FBgn0033782	FBgn0034999	FBgn0260776
FBgn0029173	FBgn0085219	FBgn0064227	FBgn0041183	FBgn0035273
FBgn0036249	FBgn0004901	FBgn0052406	FBgn0261833	FBgn0033862
FBgn0033653	FBgn0004569	FBgn0083981	FBgn0262881	FBgn0052987
FBgn0026400	FBgn0032082	FBgn0086911	FBgn0033112	FBgn0015230
FBgn0003317	FBgn0036494	FBgn0032685	FBgn0263087	FBgn0260969
FBgn0028398	FBgn0082585	FBgn0029962	FBgn0040251	FBgn0030989
FBgn0011604	FBgn0051514	FBgn0037832	FBgn0261632	FBgn0031721
FBgn0030788	FBgn0052281	FBgn0000299	FBgn0030880	FBgn0030033
FBgn0032822	FBgn0034013	FBgn0001250	FBgn0033137	FBgn0032972
FBgn0043796	FBgn0001983	FBgn0041723	FBgn0037114	FBgn0032965
FBgn0039867	FBgn0036896	FBgn0016075	FBgn0038716	FBgn0085316
FBgn0036733	FBgn0050009	FBgn0262483	FBgn0085308	FBgn0030376
FBgn0038766	FBgn0003600	FBgn0034567	FBgn0262722	FBgn0052445
FBgn0043455	FBgn0001323	FBgn0036544	FBgn0040102	FBgn0050363
FBgn0035464	FBgn0050080	FBgn0033464	FBgn0053333	FBgn0035217
FBgn0031281	FBgn0003254	FBgn0033497	FBgn0039685	FBgn0033794
FBgn0020279	FBgn0033674	FBgn0260768	FBgn0039241	FBgn0032519
FBgn0036856	FBgn0085424	FBgn0029508	FBgn0051636	FBgn0035263
FBgn0032698	FBgn0053300	FBgn0261552	FBgn0000640	FBgn0262095
FBgn0086605	FBgn0039523	FBgn0051036	FBgn0046322	FBgn0031101
FBgn0030314	FBgn0040089	FBgn0031466	FBgn0031471	FBgn0262690
FBgn0033466	FBgn0036916	FBgn0034446	FBgn0259950	FBgn0039367
FBgn0031768	FBgn0260225	FBgn0029834	FBgn0051822	FBgn0028561
FBgn0026170	FBgn0261648	FBgn0030997	FBgn0029584	FBgn0261529
FBgn0051908	FBgn0027796	FBgn0020249	FBgn0262816	FBgn0032176
FBgn0035254	FBgn0004635	FBgn0016754	FBgn0040565	FBgn0263026
FBgn0026722	FBgn0053207	FBgn0083980	FBgn0033451	FBgn0034477
FBgn0064121	FBgn0039202	FBgn0035308	FBgn0028514	FBgn0263033
FBgn0026175	FBgn0032079	FBgn0038541	FBgn0262808	FBgn0052301
FBgn0028500	FBgn0004863	FBgn0035710	FBgn0033756	FBgn0032969
FBgn0033178	FBgn0010323	FBgn0030887	FBgn0031412	FBgn0085239
FBgn0035073	FBgn0051270	FBgn0028675	FBgn0085256	FBgn0029740
FBgn0035769	FBgn0002945	FBgn0261379	FBgn0034756	FBgn0069913
FBgn0036487	FBgn0026585	FBgn0033365	FBgn0040660	FBgn0262839
