Early embryo	Middle embryo	Late embryo	Larva	Pupae.Adult
FBgn0037874	NA	FBgn0052571	FBgn0261584	FBgn0036731
FBgn0003277	NA	FBgn0003057	FBgn0033047	FBgn0046698
FBgn0003720	NA	FBgn0033943	FBgn0033999	FBgn0031826
FBgn0001197	NA	FBgn0050502	FBgn0039091	FBgn0032879
FBgn0034035	NA	FBgn0052813	FBgn0028985	FBgn0050177
FBgn0028411	NA	FBgn0037180	FBgn0035964	FBgn0039395
FBgn0037573	NA	FBgn0035511	FBgn0050148	FBgn0052488
FBgn0034514	NA	FBgn0038170	FBgn0259708	FBgn0052061
FBgn0015664	NA	FBgn0259703	FBgn0030105	FBgn0037986
FBgn0039227	NA	FBgn0025334	FBgn0035412	FBgn0037037
FBgn0002736	NA	FBgn0086693	FBgn0051741	FBgn0037486
FBgn0025635	NA	FBgn0016047	FBgn0033093	FBgn0030622
FBgn0040066	NA	FBgn0026411	FBgn0039519	FBgn0038486
FBgn0027503	NA	FBgn0032437	FBgn0259098	FBgn0051204
FBgn0005630	NA	FBgn0262565	FBgn0038943	FBgn0028892
FBgn0038471	NA	FBgn0260866	FBgn0030777	FBgn0037995
FBgn0029873	NA	FBgn0085296	FBgn0015040	FBgn0031626
FBgn0004856	NA	FBgn0036639	FBgn0001142	FBgn0029989
FBgn0037621	NA	FBgn0034768	FBgn0053461	FBgn0031082
FBgn0027784	NA	FBgn0036470	FBgn0262142	FBgn0051407
FBgn0259785	NA	FBgn0085297	FBgn0028956	FBgn0034841
FBgn0003169	NA	FBgn0037223	FBgn0032066	FBgn0051459
FBgn0028554	NA	FBgn0036282	FBgn0039299	FBgn0029809
FBgn0030291	NA	FBgn0036219	FBgn0031389	FBgn0085204
FBgn0261119	NA	FBgn0040255	FBgn0034031	FBgn0032090
FBgn0020546	NA	FBgn0051871	FBgn0002533	FBgn0053284
FBgn0035357	NA	FBgn0053269	FBgn0034470	FBgn0035581
FBgn0035405	NA	FBgn0031955	FBgn0031055	FBgn0051099
FBgn0040984	NA	FBgn0039500	FBgn0053192	FBgn0035014
FBgn0022338	NA	FBgn0039444	FBgn0026190	FBgn0034979
FBgn0032979	NA	FBgn0037178	FBgn0036553	FBgn0031139
FBgn0014340	NA	FBgn0062978	FBgn0034296	FBgn0034957
FBgn0027537	NA	FBgn0041105	FBgn0010225	FBgn0029963
FBgn0010622	NA	FBgn0032456	FBgn0028533	FBgn0038357
FBgn0015014	NA	FBgn0035313	FBgn0039311	FBgn0035657
FBgn0262734	NA	FBgn0020766	FBgn0035904	FBgn0032563
FBgn0034598	NA	FBgn0037122	FBgn0034140	FBgn0032554
FBgn0036258	NA	FBgn0039290	FBgn0039798	FBgn0051347
FBgn0035482	NA	FBgn0011701	FBgn0035146	FBgn0053017
FBgn0067629	NA	FBgn0004198	FBgn0035040	FBgn0034824
FBgn0027553	NA	FBgn0029504	FBgn0039474	FBgn0031443
FBgn0034814	NA	FBgn0003090	FBgn0036024	FBgn0031546
FBgn0036734	NA	FBgn0033645	FBgn0085481	FBgn0050374
FBgn0026713	NA	FBgn0085304	FBgn0043536	FBgn0028857
FBgn0002638	NA	FBgn0053500	FBgn0032615	FBgn0034713
FBgn0030711	NA	FBgn0262944	FBgn0038784	FBgn0031504
FBgn0035136	NA	FBgn0040360	FBgn0038006	FBgn0037512
FBgn0038948	NA	FBgn0030980	FBgn0028920	FBgn0035007
FBgn0003330	NA	FBgn0033590	FBgn0037817	FBgn0250826
FBgn0262714	NA	FBgn0020912	FBgn0038719	FBgn0032878
FBgn0031114	NA	FBgn0085305	FBgn0040350	FBgn0032365
FBgn0040487	NA	FBgn0037428	FBgn0051436	FBgn0030370
FBgn0020388	NA	FBgn0034201	FBgn0038681	FBgn0030319
FBgn0020496	NA	FBgn0086675	FBgn0039747	FBgn0036329
FBgn0043456	NA	FBgn0032436	FBgn0052071	FBgn0085336
FBgn0030631	NA	FBgn0085252	FBgn0036996	FBgn0033832
FBgn0035993	NA	FBgn0036102	FBgn0035496	FBgn0036829
FBgn0032600	NA	FBgn0052073	FBgn0034647	FBgn0039071
FBgn0036503	NA	FBgn0052270	FBgn0031693	FBgn0038356
FBgn0034060	NA	FBgn0023496	FBgn0034759	FBgn0033278
FBgn0051301	NA	FBgn0038941	FBgn0052656	FBgn0051921
FBgn0011764	NA	FBgn0085371	FBgn0020508	FBgn0261627
FBgn0000377	NA	FBgn0039437	FBgn0035632	FBgn0029949
FBgn0035294	NA	FBgn0038814	FBgn0032067	FBgn0050110
FBgn0034572	NA	FBgn0031467	FBgn0034517	FBgn0036705
FBgn0025776	NA	FBgn0036711	FBgn0037684	FBgn0040362
FBgn0030943	NA	FBgn0037179	FBgn0034085	FBgn0069938
FBgn0004587	NA	FBgn0038132	FBgn0032161	FBgn0037985
FBgn0036314	NA	FBgn0243586	FBgn0033826	FBgn0037147
FBgn0035027	NA	FBgn0026403	FBgn0039238	FBgn0032894
FBgn0039488	NA	FBgn0263247	FBgn0015010	FBgn0029700
FBgn0030790	NA	FBgn0262810	FBgn0262588	FBgn0262876
FBgn0005642	NA	FBgn0037068	FBgn0010295	FBgn0032039
FBgn0033081	NA	FBgn0259923	FBgn0028534	FBgn0032371
FBgn0040809	NA	FBgn0039441	FBgn0034439	FBgn0085461
FBgn0011715	NA	FBgn0004781	FBgn0038173	FBgn0033056
FBgn0003512	NA	FBgn0039448	FBgn0250815	FBgn0031423
FBgn0031456	NA	FBgn0039838	FBgn0039475	FBgn0032530
FBgn0023509	NA	FBgn0034565	FBgn0032076	FBgn0033141
FBgn0037700	NA	FBgn0028871	FBgn0032124	FBgn0034007
FBgn0037958	NA	FBgn0039469	FBgn0261560	FBgn0031722
FBgn0001276	NA	FBgn0037430	FBgn0040717	FBgn0046793
FBgn0025815	NA	FBgn0037014	FBgn0035452	FBgn0261358
FBgn0001994	NA	FBgn0020429	FBgn0030597	FBgn0036704
FBgn0037093	NA	FBgn0036139	FBgn0010359	FBgn0039029
FBgn0030468	NA	FBgn0035577	FBgn0024957	FBgn0034459
FBgn0033160	NA	FBgn0023091	FBgn0259236	FBgn0262612
FBgn0027535	NA	FBgn0028427	FBgn0036422	FBgn0037172
FBgn0036696	NA	FBgn0037177	FBgn0029167	FBgn0033322
FBgn0261830	NA	FBgn0259179	FBgn0033221	FBgn0085327
FBgn0032354	NA	FBgn0036390	FBgn0011296	FBgn0261807
FBgn0035393	NA	FBgn0038436	FBgn0053307	FBgn0036708
FBgn0039710	NA	FBgn0028855	FBgn0030098	FBgn0052396
FBgn0010416	NA	FBgn0030569	FBgn0050187	FBgn0061188
FBgn0030373	NA	FBgn0262979	FBgn0010591	FBgn0260461
FBgn0031540	NA	FBgn0039436	FBgn0035781	FBgn0038952
FBgn0034657	NA	FBgn0053271	FBgn0050031	FBgn0085321
FBgn0036340	NA	FBgn0039106	FBgn0035667	FBgn0040674
FBgn0002561	NA	FBgn0011277	FBgn0010358	FBgn0032677
FBgn0039712	NA	FBgn0053160	FBgn0262146	FBgn0032003
FBgn0042205	NA	FBgn0263097	FBgn0023479	FBgn0034196
FBgn0052708	NA	FBgn0033271	FBgn0039760	FBgn0052299
FBgn0003567	NA	FBgn0041092	FBgn0050025	FBgn0262990
FBgn0023518	NA	FBgn0036466	FBgn0034139	FBgn0051797
FBgn0261266	NA	FBgn0036936	FBgn0053306	FBgn0050278
FBgn0034939	NA	FBgn0033874	FBgn0035090	FBgn0039373
FBgn0004656	NA	FBgn0052506	FBgn0053282	FBgn0037500
FBgn0017457	NA	FBgn0066365	FBgn0262721	FBgn0035567
FBgn0033185	NA	FBgn0261859	FBgn0046763	FBgn0029729
FBgn0261270	NA	FBgn0259934	FBgn0033139	FBgn0036328
FBgn0013764	NA	FBgn0037424	FBgn0034200	FBgn0262355
FBgn0030003	NA	FBgn0035685	FBgn0259998	FBgn0029812
FBgn0086707	NA	FBgn0085223	FBgn0035665	FBgn0031407
FBgn0000482	NA	FBgn0042650	FBgn0033724	FBgn0029705
FBgn0015602	NA	FBgn0038156	FBgn0038115	FBgn0085556
FBgn0031266	NA	FBgn0051632	FBgn0037683	FBgn0028868
FBgn0001133	NA	FBgn0036956	FBgn0030097	FBgn0042710
FBgn0032870	NA	FBgn0040234	FBgn0263234	FBgn0038163
FBgn0043903	NA	FBgn0016061	FBgn0035427	FBgn0051677
FBgn0038768	NA	FBgn0042630	FBgn0003357	FBgn0085233
FBgn0014269	NA	FBgn0262028	FBgn0034284	FBgn0030296
FBgn0015805	NA	FBgn0030729	FBgn0003356	FBgn0051882
FBgn0027514	NA	FBgn0036638	FBgn0034318	FBgn0025378
FBgn0052202	NA	FBgn0034131	FBgn0031791	FBgn0051526
FBgn0038666	NA	FBgn0038487	FBgn0039428	FBgn0052440
FBgn0030655	NA	FBgn0035777	FBgn0026088	FBgn0037462
FBgn0032493	NA	FBgn0052570	FBgn0037750	FBgn0032654
FBgn0086694	NA	FBgn0033501	FBgn0033981	FBgn0051913
FBgn0040284	NA	FBgn0053769	FBgn0045474	FBgn0031134
FBgn0011335	NA	FBgn0036287	FBgn0035886	FBgn0259729
FBgn0051155	NA	FBgn0037165	FBgn0054026	FBgn0037826
FBgn0036104	NA	FBgn0038621	FBgn0040959	FBgn0036941
FBgn0004636	NA	FBgn0053292	FBgn0052476	FBgn0050412
FBgn0261837	NA	FBgn0262840	FBgn0035550	FBgn0037455
FBgn0030082	NA	FBgn0038402	FBgn0051496	FBgn0045202
FBgn0035249	NA	FBgn0052453	FBgn0010425	FBgn0011239
FBgn0032388	NA	FBgn0039434	FBgn0036985	FBgn0051128
FBgn0039626	NA	FBgn0038202	FBgn0086917	FBgn0036161
FBgn0001990	NA	FBgn0052529	FBgn0033600	FBgn0042198
FBgn0013753	NA	FBgn0036622	FBgn0029795	FBgn0038210
FBgn0000212	NA	FBgn0038531	FBgn0030544	FBgn0036925
FBgn0030556	NA	FBgn0030340	FBgn0036831	FBgn0033952
FBgn0030974	NA	FBgn0035735	FBgn0039476	FBgn0046332
FBgn0001180	NA	FBgn0015381	FBgn0030837	FBgn0034127
FBgn0003275	NA	FBgn0002968	FBgn0030928	FBgn0034671
FBgn0034422	NA	FBgn0031196	FBgn0031910	FBgn0036311
FBgn0031452	NA	FBgn0035736	FBgn0032945	FBgn0028902
FBgn0030969	NA	FBgn0040030	FBgn0035780	FBgn0032110
FBgn0002775	NA	FBgn0026374	FBgn0030836	FBgn0035584
FBgn0035267	NA	FBgn0036822	FBgn0034290	FBgn0036160
FBgn0031078	NA	FBgn0243512	FBgn0037518	FBgn0033969
FBgn0001974	NA	FBgn0002723	FBgn0033437	FBgn0262030
FBgn0037446	NA	FBgn0052532	FBgn0023197	FBgn0051627
FBgn0030293	NA	FBgn0034301	FBgn0040958	FBgn0028943
FBgn0034537	NA	FBgn0030570	FBgn0037067	FBgn0031853
FBgn0030122	NA	FBgn0000061	FBgn0063924	FBgn0050073
FBgn0039733	NA	FBgn0010395	FBgn0085797	FBgn0260459
FBgn0003416	NA	FBgn0037280	FBgn0015001	FBgn0263034
FBgn0037255	NA	FBgn0035077	FBgn0050289	FBgn0052643
FBgn0010313	NA	FBgn0053169	FBgn0033292	FBgn0040989
FBgn0039557	NA	FBgn0040780	FBgn0051148	FBgn0036924
FBgn0030915	NA	FBgn0086680	FBgn0061356	FBgn0035139
FBgn0250837	NA	FBgn0033115	FBgn0052304	FBgn0038944
FBgn0262955	NA	FBgn0034096	FBgn0034292	FBgn0030384
FBgn0031947	NA	FBgn0030761	FBgn0031695	FBgn0038127
FBgn0037981	NA	FBgn0036979	FBgn0010294	FBgn0033330
FBgn0028292	NA	FBgn0015904	FBgn0052284	FBgn0033248
FBgn0030054	NA	FBgn0005775	FBgn0027945	FBgn0037191
FBgn0001139	NA	FBgn0013433	FBgn0038005	FBgn0050366
FBgn0030868	NA	FBgn0052528	FBgn0004427	FBgn0017556
FBgn0002783	NA	FBgn0086661	FBgn0032074	FBgn0029964
FBgn0037660	NA	FBgn0051235	FBgn0034784	FBgn0038089
FBgn0027567	NA	FBgn0260966	FBgn0038484	FBgn0031462
FBgn0020245	NA	FBgn0030162	FBgn0031654	FBgn0034121
FBgn0030466	NA	FBgn0085779	FBgn0031653	FBgn0034129
FBgn0036406	NA	FBgn0067407	FBgn0035154	FBgn0029702
FBgn0015818	NA	FBgn0085817	FBgn0020385	FBgn0035971
FBgn0000283	NA	FBgn0020307	FBgn0005670	FBgn0085464
FBgn0030501	NA	FBgn0033827	FBgn0030756	FBgn0050369
FBgn0262519	NA	FBgn0038391	FBgn0250907	FBgn0051008
FBgn0035622	NA	FBgn0052569	FBgn0025578	FBgn0053092
FBgn0030328	NA	FBgn0001122	FBgn0020906	FBgn0039235
FBgn0031635	NA	FBgn0030390	FBgn0035612	FBgn0029660
FBgn0052831	NA	FBgn0036294	FBgn0050196	FBgn0030386
FBgn0051365	NA	FBgn0030992	FBgn0037465	FBgn0037988
FBgn0010282	NA	FBgn0040279	FBgn0035666	FBgn0037064
FBgn0002044	NA	FBgn0024754	FBgn0034289	FBgn0030620
FBgn0010607	NA	FBgn0030186	FBgn0033582	FBgn0037827
FBgn0034878	NA	FBgn0030187	FBgn0051100	FBgn0030951
FBgn0030142	NA	FBgn0000633	FBgn0039777	FBgn0029153
FBgn0010602	NA	FBgn0003089	FBgn0036264	FBgn0029816
FBgn0029133	NA	FBgn0039053	FBgn0031580	FBgn0054049
FBgn0010356	NA	FBgn0036147	FBgn0001285	FBgn0039371
FBgn0037220	NA	FBgn0024753	FBgn0039778	FBgn0037987
FBgn0032321	NA	FBgn0028904	FBgn0042102	FBgn0032372
FBgn0033062	NA	FBgn0028546	FBgn0051410	FBgn0033499
FBgn0050122	NA	FBgn0037162	FBgn0033789	FBgn0032464
FBgn0032491	NA	FBgn0036859	FBgn0034225	FBgn0263078
FBgn0031492	NA	FBgn0260477	FBgn0038009	FBgn0005779
FBgn0031673	NA	FBgn0041156	FBgn0002534	FBgn0038607
FBgn0032490	NA	FBgn0014388	FBgn0031037	FBgn0040648
FBgn0040394	NA	FBgn0033257	FBgn0263031	FBgn0263250
FBgn0030891	NA	FBgn0040262	FBgn0036833	FBgn0029890
FBgn0028926	NA	FBgn0039194	FBgn0262972	FBgn0261502
FBgn0024987	NA	FBgn0052105	FBgn0029826	FBgn0051730
FBgn0040929	NA	FBgn0036899	FBgn0035311	FBgn0037970
FBgn0000163	NA	FBgn0037224	FBgn0028430	FBgn0051773
FBgn0033951	NA	FBgn0259712	FBgn0033051	FBgn0036016
FBgn0038787	NA	FBgn0029830	FBgn0039718	FBgn0064119
FBgn0001150	NA	FBgn0030107	FBgn0032824	FBgn0036082
FBgn0003510	NA	FBgn0038579	FBgn0039591	FBgn0029642
FBgn0052095	NA	FBgn0011276	FBgn0035887	FBgn0036217
FBgn0016978	NA	FBgn0002522	FBgn0053012	FBgn0036751
FBgn0031390	NA	FBgn0050413	FBgn0002535	FBgn0031920
FBgn0001174	NA	FBgn0002526	FBgn0015039	FBgn0037365
FBgn0024491	NA	FBgn0035547	FBgn0053469	FBgn0037170
FBgn0086361	NA	FBgn0030529	FBgn0034197	FBgn0051867
FBgn0260962	NA	FBgn0028740	FBgn0002933	FBgn0034104
FBgn0052685	NA	FBgn0004055	FBgn0036394	FBgn0033706
FBgn0022985	NA	FBgn0250788	FBgn0037783	FBgn0037101
FBgn0066114	NA	FBgn0263039	FBgn0036181	FBgn0036832
FBgn0000316	NA	FBgn0038592	FBgn0039670	FBgn0052238
FBgn0086613	NA	FBgn0038852	FBgn0050288	FBgn0031861
FBgn0032488	NA	FBgn0039858	FBgn0050414	FBgn0034655
FBgn0035489	NA	FBgn0051559	FBgn0035743	FBgn0034546
FBgn0261844	NA	FBgn0036688	FBgn0036471	FBgn0038706
FBgn0001077	NA	FBgn0261723	FBgn0085345	FBgn0037938
FBgn0030109	NA	FBgn0038439	FBgn0085330	FBgn0051920
FBgn0038927	NA	FBgn0030389	FBgn0034291	FBgn0039552
FBgn0005411	NA	FBgn0015524	FBgn0050047	FBgn0261814
FBgn0038274	NA	FBgn0002941	FBgn0040941	FBgn0051860
FBgn0023513	NA	FBgn0261638	FBgn0086909	FBgn0036729
FBgn0031493	NA	FBgn0001078	FBgn0036950	FBgn0034363
FBgn0082598	NA	FBgn0002528	FBgn0020506	FBgn0051858
FBgn0000520	NA	FBgn0033408	FBgn0039470	FBgn0030441
FBgn0260944	NA	FBgn0010473	FBgn0030492	FBgn0046873
FBgn0001104	NA	FBgn0035256	FBgn0032281	FBgn0029154
FBgn0035761	NA	FBgn0035922	FBgn0037181	FBgn0028848
FBgn0025457	NA	FBgn0250789	FBgn0038207	FBgn0036236
FBgn0037633	NA	FBgn0035338	FBgn0037065	FBgn0037454
FBgn0022764	NA	FBgn0000075	FBgn0039818	FBgn0085298
FBgn0003079	NA	FBgn0029095	FBgn0002440	FBgn0038558
FBgn0031822	NA	FBgn0259192	FBgn0035813	FBgn0038685
FBgn0038639	NA	FBgn0260442	FBgn0035847	FBgn0031085
FBgn0037707	NA	FBgn0033481	FBgn0038239	FBgn0029727
FBgn0021895	NA	FBgn0036557	FBgn0038647	FBgn0032648
FBgn0038454	NA	FBgn0000635	FBgn0029848	FBgn0037516
FBgn0010417	NA	FBgn0261613	FBgn0036361	FBgn0038334
FBgn0086445	NA	FBgn0036195	FBgn0065032	FBgn0053285
FBgn0022986	NA	FBgn0045852	FBgn0033207	FBgn0263036
FBgn0037920	NA	FBgn0020617	FBgn0052404	FBgn0031108
FBgn0022224	NA	FBgn0027527	FBgn0050163	FBgn0038656
FBgn0033934	NA	FBgn0261800	FBgn0050043	FBgn0033819
FBgn0032847	NA	FBgn0030375	FBgn0004425	FBgn0031729
FBgn0261840	NA	FBgn0262822	FBgn0036362	FBgn0032867
FBgn0039943	NA	FBgn0043550	FBgn0034712	FBgn0036348
FBgn0026373	NA	FBgn0001170	FBgn0262577	FBgn0035782
FBgn0041171	NA	FBgn0020391	FBgn0033729	FBgn0011693
FBgn0011762	NA	FBgn0039209	FBgn0004430	FBgn0050391
FBgn0036141	NA	FBgn0031990	FBgn0085311	FBgn0051806
FBgn0026326	NA	FBgn0010407	FBgn0051439	FBgn0034776
FBgn0039229	NA	FBgn0034281	FBgn0036467	FBgn0030905
FBgn0033316	NA	FBgn0085326	FBgn0069056	FBgn0030840
FBgn0064122	NA	FBgn0033412	FBgn0034901	FBgn0259183
FBgn0037478	NA	FBgn0039507	FBgn0051789	FBgn0031954
FBgn0003977	NA	FBgn0259823	FBgn0036225	FBgn0037506
FBgn0022349	NA	FBgn0037436	FBgn0020643	FBgn0030440
FBgn0032454	NA	FBgn0036121	FBgn0033573	FBgn0034601
FBgn0032671	NA	FBgn0033649	FBgn0039473	FBgn0011270
FBgn0037550	NA	FBgn0005636	FBgn0032024	FBgn0033490
FBgn0034114	NA	FBgn0034938	FBgn0085480	FBgn0026399
FBgn0263102	NA	FBgn0036937	FBgn0085280	FBgn0031026
FBgn0020510	NA	FBgn0028878	FBgn0033541	FBgn0031364
FBgn0034643	NA	FBgn0037421	FBgn0023495	FBgn0051546
FBgn0032702	NA	FBgn0262139	FBgn0263020	FBgn0038377
FBgn0000449	NA	FBgn0036725	FBgn0036228	FBgn0023076
FBgn0050390	NA	FBgn0032940	FBgn0052302	FBgn0030449
FBgn0030874	NA	FBgn0035643	FBgn0261681	FBgn0034505
FBgn0036810	NA	FBgn0015558	FBgn0003086	FBgn0051286
FBgn0043001	NA	FBgn0052037	FBgn0038750	FBgn0039810
FBgn0033264	NA	FBgn0004657	FBgn0038139	FBgn0030614
FBgn0003511	NA	FBgn0051481	FBgn0085334	FBgn0030525
FBgn0000617	NA	FBgn0029897	FBgn0020644	FBgn0036609
FBgn0033998	NA	FBgn0260934	FBgn0039453	FBgn0034898
FBgn0030418	NA	FBgn0005533	FBgn0036949	FBgn0051910
FBgn0261792	NA	FBgn0036825	FBgn0028518	FBgn0052119
FBgn0025637	NA	FBgn0039344	FBgn0261682	FBgn0034721
FBgn0037156	NA	FBgn0038452	FBgn0036234	FBgn0030780
FBgn0002781	NA	FBgn0001319	FBgn0038783	FBgn0031476
FBgn0027950	NA	FBgn0002778	FBgn0262531	FBgn0261624
FBgn0050096	NA	FBgn0015542	FBgn0036227	FBgn0050485
FBgn0039270	NA	FBgn0031738	FBgn0034710	FBgn0031335
FBgn0039554	NA	FBgn0003715	FBgn0038643	FBgn0033828
FBgn0032378	NA	FBgn0034025	FBgn0036940	FBgn0260452
FBgn0013755	NA	FBgn0015609	FBgn0262683	FBgn0034774
FBgn0044324	NA	FBgn0025632	FBgn0039671	FBgn0000313
FBgn0031314	NA	FBgn0025866	FBgn0020376	FBgn0029745
FBgn0033372	NA	FBgn0033721	FBgn0036393	FBgn0038208
FBgn0022720	NA	FBgn0035157	FBgn0051464	FBgn0032609
FBgn0032688	NA	FBgn0082969	FBgn0015011	FBgn0051029
FBgn0037609	NA	FBgn0015806	FBgn0034769	FBgn0037626
FBgn0262601	NA	FBgn0024184	FBgn0038241	FBgn0052572
FBgn0011290	NA	FBgn0035833	FBgn0035552	FBgn0030014
FBgn0013347	NA	FBgn0051813	FBgn0036948	FBgn0053191
FBgn0033581	NA	FBgn0028401	FBgn0036226	FBgn0037195
FBgn0004050	NA	FBgn0051729	FBgn0037672	FBgn0030104
FBgn0031606	NA	FBgn0053117	FBgn0037724	FBgn0263004
FBgn0050342	NA	FBgn0261461	FBgn0262811	FBgn0053060
FBgn0004400	NA	FBgn0030467	FBgn0034899	FBgn0037320
FBgn0036565	NA	FBgn0051721	FBgn0046879	FBgn0036162
FBgn0010762	NA	FBgn0031257	FBgn0034288	FBgn0051816
FBgn0038765	NA	FBgn0014467	FBgn0036953	FBgn0034687
FBgn0004915	NA	FBgn0052227	FBgn0053128	FBgn0052811
FBgn0034118	NA	FBgn0028954	FBgn0260393	FBgn0025838
FBgn0039013	NA	FBgn0051118	FBgn0031178	FBgn0032448
FBgn0031054	NA	FBgn0033275	FBgn0085307	FBgn0262793
FBgn0032517	NA	FBgn0036237	FBgn0014368	FBgn0051924
FBgn0035110	NA	FBgn0026144	FBgn0259230	FBgn0051952
FBgn0035021	NA	FBgn0033107	FBgn0036947	FBgn0085486
FBgn0037261	NA	FBgn0263289	FBgn0261847	FBgn0028569
FBgn0038872	NA	FBgn0052062	FBgn0036468	FBgn0029747
FBgn0032476	NA	FBgn0017397	FBgn0053985	FBgn0030359
FBgn0010287	NA	FBgn0039932	FBgn0052198	FBgn0033680
FBgn0037611	NA	FBgn0024187	FBgn0038508	FBgn0037276
FBgn0025463	NA	FBgn0004509	FBgn0038645	FBgn0034218
FBgn0016983	NA	FBgn0013984	FBgn0036952	FBgn0038213
FBgn0030877	NA	FBgn0033739	FBgn0036233	FBgn0262842
FBgn0260741	NA	FBgn0261649	FBgn0036951	FBgn0031168
FBgn0001185	NA	FBgn0034072	FBgn0040393	FBgn0032457
FBgn0036248	NA	FBgn0038803	FBgn0033708	FBgn0034745
FBgn0032479	NA	FBgn0031474	FBgn0025693	FBgn0026563
FBgn0027951	NA	FBgn0262127	FBgn0040950	FBgn0260480
FBgn0053520	NA	FBgn0035432	FBgn0034819	FBgn0259198
FBgn0027574	NA	FBgn0039026	FBgn0038646	FBgn0039694
FBgn0051111	NA	NA	FBgn0262021	FBgn0050060
FBgn0001215	NA	NA	FBgn0038242	FBgn0262883
FBgn0004855	NA	NA	FBgn0038114	FBgn0039855
FBgn0003139	NA	NA	FBgn0259697	FBgn0017456
FBgn0037657	NA	NA	FBgn0038431	FBgn0037115
FBgn0031036	NA	NA	FBgn0034428	FBgn0030898
FBgn0004406	NA	NA	FBgn0053757	FBgn0039568
FBgn0029121	NA	NA	FBgn0037083	FBgn0036031
FBgn0035148	NA	NA	FBgn0034093	FBgn0036442
NA	NA	NA	NA	FBgn0085196
NA	NA	NA	NA	FBgn0262974
NA	NA	NA	NA	FBgn0039850
NA	NA	NA	NA	FBgn0039246
NA	NA	NA	NA	FBgn0032503
NA	NA	NA	NA	FBgn0034566
NA	NA	NA	NA	FBgn0051874
NA	NA	NA	NA	FBgn0030725
NA	NA	NA	NA	FBgn0050093
NA	NA	NA	NA	FBgn0052686
NA	NA	NA	NA	FBgn0025612
NA	NA	NA	NA	FBgn0019929
NA	NA	NA	NA	FBgn0034973
NA	NA	NA	NA	FBgn0053234
NA	NA	NA	NA	FBgn0031858
NA	NA	NA	NA	FBgn0004784
NA	NA	NA	NA	FBgn0053098
NA	NA	NA	NA	FBgn0032431
NA	NA	NA	NA	FBgn0030195
NA	NA	NA	NA	FBgn0032271
NA	NA	NA	NA	FBgn0025642
NA	NA	NA	NA	FBgn0039347
NA	NA	NA	NA	FBgn0053233
NA	NA	NA	NA	FBgn0052681
