Early embryo	Middle embryo	Late embryo
ENSMUSG00000087329	ENSMUSG00000042104	ENSMUSG00000046694
ENSMUSG00000087353	ENSMUSG00000035469	ENSMUSG00000022861
ENSMUSG00000088149	ENSMUSG00000021589	ENSMUSG00000021032
ENSMUSG00000088223	ENSMUSG00000074607	ENSMUSG00000046971
ENSMUSG00000088717	ENSMUSG00000071547	ENSMUSG00000022875
ENSMUSG00000088879	ENSMUSG00000045555	ENSMUSG00000084228
ENSMUSG00000089002	ENSMUSG00000083853	ENSMUSG00000059201
ENSMUSG00000089359	ENSMUSG00000056579	ENSMUSG00000020593
ENSMUSG00000089546	ENSMUSG00000019913	ENSMUSG00000004892
ENSMUSG00000090332	ENSMUSG00000045608	ENSMUSG00000094120
ENSMUSG00000090466	ENSMUSG00000047759	ENSMUSG00000096979
ENSMUSG00000090572	ENSMUSG00000069265	ENSMUSG00000093427
ENSMUSG00000090740	ENSMUSG00000085615	ENSMUSG00000025348
ENSMUSG00000090966	ENSMUSG00000027434	ENSMUSG00000079434
ENSMUSG00000091281	ENSMUSG00000097090	ENSMUSG00000085881
ENSMUSG00000091539	ENSMUSG00000078452	ENSMUSG00000087254
ENSMUSG00000091627	ENSMUSG00000040356	ENSMUSG00000079554
ENSMUSG00000091832	ENSMUSG00000033760	ENSMUSG00000090509
ENSMUSG00000091929	ENSMUSG00000039830	ENSMUSG00000079563
ENSMUSG00000092231	ENSMUSG00000026976	ENSMUSG00000067231
ENSMUSG00000092568	ENSMUSG00000026121	ENSMUSG00000043631
ENSMUSG00000092678	ENSMUSG00000097396	ENSMUSG00000044594
ENSMUSG00000092978	ENSMUSG00000087700	ENSMUSG00000075566
ENSMUSG00000093115	ENSMUSG00000000942	ENSMUSG00000034362
ENSMUSG00000093133	ENSMUSG00000022484	ENSMUSG00000055298
ENSMUSG00000093232	ENSMUSG00000084883	ENSMUSG00000020439
ENSMUSG00000093762	ENSMUSG00000032846	ENSMUSG00000028996
ENSMUSG00000093788	ENSMUSG00000030093	ENSMUSG00000026070
ENSMUSG00000093813	ENSMUSG00000072582	ENSMUSG00000028635
ENSMUSG00000093867	ENSMUSG00000039741	ENSMUSG00000026715
ENSMUSG00000093889	ENSMUSG00000080574	ENSMUSG00000058368
ENSMUSG00000094390	ENSMUSG00000079481	ENSMUSG00000021749
ENSMUSG00000094429	ENSMUSG00000037621	ENSMUSG00000034422
ENSMUSG00000094523	ENSMUSG00000067455	ENSMUSG00000037390
ENSMUSG00000094533	ENSMUSG00000085548	ENSMUSG00000047594
ENSMUSG00000094914	ENSMUSG00000069171	ENSMUSG00000061584
ENSMUSG00000095223	ENSMUSG00000059674	ENSMUSG00000026222
ENSMUSG00000095446	ENSMUSG00000021144	ENSMUSG00000021490
ENSMUSG00000095516	ENSMUSG00000040840	ENSMUSG00000002020
ENSMUSG00000095747	ENSMUSG00000025816	ENSMUSG00000063522
ENSMUSG00000095874	ENSMUSG00000063894	ENSMUSG00000050108
ENSMUSG00000095961	ENSMUSG00000090043	ENSMUSG00000000562
ENSMUSG00000096641	ENSMUSG00000075040	ENSMUSG00000014351
ENSMUSG00000096678	ENSMUSG00000025321	ENSMUSG00000023433
ENSMUSG00000096690	ENSMUSG00000097160	ENSMUSG00000079625
ENSMUSG00000096973	ENSMUSG00000068740	ENSMUSG00000047109
ENSMUSG00000097646	ENSMUSG00000086986	ENSMUSG00000017211
ENSMUSG00000097948	ENSMUSG00000054178	ENSMUSG00000024175
ENSMUSG00000098124	ENSMUSG00000096954	ENSMUSG00000073418
ENSMUSG00000098162	ENSMUSG00000022449	ENSMUSG00000095788
ENSMUSG00000038246	ENSMUSG00000097618	ENSMUSG00000027470
ENSMUSG00000086992	ENSMUSG00000027160	ENSMUSG00000018830
ENSMUSG00000089669	ENSMUSG00000097707	ENSMUSG00000049134
ENSMUSG00000042203	ENSMUSG00000024247	ENSMUSG00000022667
ENSMUSG00000044328	ENSMUSG00000090112	ENSMUSG00000050028
ENSMUSG00000006527	ENSMUSG00000028289	ENSMUSG00000049625
ENSMUSG00000085867	ENSMUSG00000063632	ENSMUSG00000045236
ENSMUSG00000087461	ENSMUSG00000024073	ENSMUSG00000020681
ENSMUSG00000025366	ENSMUSG00000055639	ENSMUSG00000090119
ENSMUSG00000079143	ENSMUSG00000084755	ENSMUSG00000094913
ENSMUSG00000015966	ENSMUSG00000000202	ENSMUSG00000037469
ENSMUSG00000075524	ENSMUSG00000063455	ENSMUSG00000069515
ENSMUSG00000058728	ENSMUSG00000050295	ENSMUSG00000021298
ENSMUSG00000096764	ENSMUSG00000095139	ENSMUSG00000021335
ENSMUSG00000053536	ENSMUSG00000097760	ENSMUSG00000022534
ENSMUSG00000050121	ENSMUSG00000025352	ENSMUSG00000051207
ENSMUSG00000042567	ENSMUSG00000060093	ENSMUSG00000022262
ENSMUSG00000097739	ENSMUSG00000055202	ENSMUSG00000026415
ENSMUSG00000090635	ENSMUSG00000097925	ENSMUSG00000072845
ENSMUSG00000072983	ENSMUSG00000020362	ENSMUSG00000025425
ENSMUSG00000075166	ENSMUSG00000040929	ENSMUSG00000051107
ENSMUSG00000076612	ENSMUSG00000090235	ENSMUSG00000052374
ENSMUSG00000072575	ENSMUSG00000093483	ENSMUSG00000021250
ENSMUSG00000046196	ENSMUSG00000029376	ENSMUSG00000071656
ENSMUSG00000006764	ENSMUSG00000040310	ENSMUSG00000028457
ENSMUSG00000096038	ENSMUSG00000073985	ENSMUSG00000022755
ENSMUSG00000086007	ENSMUSG00000038156	ENSMUSG00000059956
ENSMUSG00000090355	ENSMUSG00000079915	ENSMUSG00000040899
ENSMUSG00000026416	ENSMUSG00000061143	ENSMUSG00000079440
ENSMUSG00000041471	ENSMUSG00000027242	ENSMUSG00000061531
ENSMUSG00000092077	ENSMUSG00000059493	ENSMUSG00000028427
ENSMUSG00000021902	ENSMUSG00000093460	ENSMUSG00000006462
ENSMUSG00000049353	ENSMUSG00000026047	ENSMUSG00000040205
ENSMUSG00000020021	ENSMUSG00000069306	ENSMUSG00000046523
ENSMUSG00000097289	ENSMUSG00000058665	ENSMUSG00000024960
ENSMUSG00000020847	ENSMUSG00000000184	ENSMUSG00000059845
ENSMUSG00000026774	ENSMUSG00000049357	ENSMUSG00000043592
ENSMUSG00000022130	ENSMUSG00000025592	ENSMUSG00000027048
ENSMUSG00000071340	ENSMUSG00000075032	ENSMUSG00000025433
ENSMUSG00000036890	ENSMUSG00000077285	ENSMUSG00000039508
ENSMUSG00000024193	ENSMUSG00000038894	ENSMUSG00000027360
ENSMUSG00000023978	ENSMUSG00000085379	ENSMUSG00000037798
ENSMUSG00000024576	ENSMUSG00000086385	ENSMUSG00000074254
ENSMUSG00000097612	ENSMUSG00000098062	ENSMUSG00000024682
ENSMUSG00000051729	ENSMUSG00000030671	ENSMUSG00000022015
ENSMUSG00000044306	ENSMUSG00000082529	ENSMUSG00000064215
ENSMUSG00000068680	ENSMUSG00000035062	ENSMUSG00000078915
ENSMUSG00000078998	ENSMUSG00000073590	ENSMUSG00000045034
ENSMUSG00000083534	ENSMUSG00000026074	ENSMUSG00000074419
ENSMUSG00000009114	ENSMUSG00000048047	ENSMUSG00000078520
ENSMUSG00000018581	ENSMUSG00000091844	ENSMUSG00000027443
ENSMUSG00000025384	ENSMUSG00000024736	ENSMUSG00000024330
ENSMUSG00000089994	ENSMUSG00000087108	ENSMUSG00000025418
ENSMUSG00000040489	ENSMUSG00000021109	ENSMUSG00000042041
ENSMUSG00000085508	ENSMUSG00000089901	ENSMUSG00000018774
ENSMUSG00000025404	ENSMUSG00000045639	ENSMUSG00000059654
ENSMUSG00000055045	ENSMUSG00000025529	ENSMUSG00000035831
ENSMUSG00000024673	ENSMUSG00000069305	ENSMUSG00000060459
ENSMUSG00000074862	ENSMUSG00000028871	ENSMUSG00000070574
ENSMUSG00000026691	ENSMUSG00000096488	ENSMUSG00000042363
ENSMUSG00000021414	ENSMUSG00000086982	ENSMUSG00000022575
ENSMUSG00000022515	ENSMUSG00000083728	ENSMUSG00000076617
ENSMUSG00000096372	ENSMUSG00000043219	ENSMUSG00000037577
ENSMUSG00000085926	ENSMUSG00000039205	ENSMUSG00000014725
ENSMUSG00000055748	ENSMUSG00000020312	ENSMUSG00000024757
ENSMUSG00000097841	ENSMUSG00000098041	ENSMUSG00000086265
ENSMUSG00000056987	ENSMUSG00000052544	ENSMUSG00000047253
ENSMUSG00000076863	ENSMUSG00000036893	ENSMUSG00000039198
ENSMUSG00000057058	ENSMUSG00000081058	ENSMUSG00000037185
ENSMUSG00000092437	ENSMUSG00000051721	ENSMUSG00000069583
ENSMUSG00000089815	ENSMUSG00000072974	ENSMUSG00000035849
ENSMUSG00000087230	ENSMUSG00000031661	ENSMUSG00000021583
ENSMUSG00000038188	ENSMUSG00000089827	ENSMUSG00000057564
ENSMUSG00000091415	ENSMUSG00000050248	ENSMUSG00000021356
ENSMUSG00000020190	ENSMUSG00000061482	ENSMUSG00000035179
ENSMUSG00000087296	ENSMUSG00000083537	ENSMUSG00000002204
ENSMUSG00000025163	ENSMUSG00000094487	ENSMUSG00000019893
ENSMUSG00000024402	ENSMUSG00000091117	ENSMUSG00000053054
ENSMUSG00000081539	ENSMUSG00000015189	ENSMUSG00000050463
ENSMUSG00000092368	ENSMUSG00000062808	ENSMUSG00000042096
ENSMUSG00000036568	ENSMUSG00000031433	ENSMUSG00000022041
ENSMUSG00000095704	ENSMUSG00000080753	ENSMUSG00000044103
ENSMUSG00000091657	ENSMUSG00000069565	ENSMUSG00000032015
ENSMUSG00000097217	ENSMUSG00000081811	ENSMUSG00000046623
ENSMUSG00000035984	ENSMUSG00000050714	ENSMUSG00000046876
ENSMUSG00000025002	ENSMUSG00000035799	ENSMUSG00000048865
ENSMUSG00000085504	ENSMUSG00000053646	ENSMUSG00000022783
ENSMUSG00000055827	ENSMUSG00000002058	ENSMUSG00000053182
ENSMUSG00000025354	ENSMUSG00000035275	ENSMUSG00000085148
ENSMUSG00000087666	ENSMUSG00000085154	ENSMUSG00000013643
ENSMUSG00000035764	ENSMUSG00000089968	ENSMUSG00000035592
ENSMUSG00000024222	ENSMUSG00000098164	ENSMUSG00000060469
ENSMUSG00000098096	ENSMUSG00000031737	ENSMUSG00000087581
ENSMUSG00000078907	ENSMUSG00000049576	ENSMUSG00000024340
ENSMUSG00000082663	ENSMUSG00000022637	ENSMUSG00000030483
ENSMUSG00000056959	ENSMUSG00000086750	ENSMUSG00000030775
ENSMUSG00000034525	ENSMUSG00000035045	ENSMUSG00000074183
ENSMUSG00000087364	ENSMUSG00000037890	ENSMUSG00000070877
ENSMUSG00000021285	ENSMUSG00000068855	ENSMUSG00000051802
ENSMUSG00000044934	ENSMUSG00000093565	ENSMUSG00000085479
