Early embryo	Middle embryo	Late embryo
ENSMUSG00000089803	ENSMUSG00000096904	ENSMUSG00000021214
ENSMUSG00000021282	ENSMUSG00000082957	ENSMUSG00000070594
ENSMUSG00000067148	ENSMUSG00000070808	ENSMUSG00000049128
ENSMUSG00000024145	ENSMUSG00000006678	ENSMUSG00000044819
ENSMUSG00000067995	ENSMUSG00000079415	ENSMUSG00000019933
ENSMUSG00000037197	ENSMUSG00000088200	ENSMUSG00000028008
ENSMUSG00000069622	ENSMUSG00000081441	ENSMUSG00000095583
ENSMUSG00000068165	ENSMUSG00000047721	ENSMUSG00000057400
ENSMUSG00000027363	ENSMUSG00000091941	ENSMUSG00000026582
ENSMUSG00000020897	ENSMUSG00000091968	ENSMUSG00000020143
ENSMUSG00000042410	ENSMUSG00000083049	ENSMUSG00000079018
ENSMUSG00000026127	ENSMUSG00000021796	ENSMUSG00000045655
ENSMUSG00000001285	ENSMUSG00000001134	ENSMUSG00000005696
ENSMUSG00000020918	ENSMUSG00000093578	ENSMUSG00000047638
ENSMUSG00000025580	ENSMUSG00000002326	ENSMUSG00000055561
ENSMUSG00000038299	ENSMUSG00000058881	ENSMUSG00000021999
ENSMUSG00000026037	ENSMUSG00000073236	ENSMUSG00000054128
ENSMUSG00000033918	ENSMUSG00000092262	ENSMUSG00000078253
ENSMUSG00000094076	ENSMUSG00000081236	ENSMUSG00000033765
ENSMUSG00000022035	ENSMUSG00000091784	ENSMUSG00000031936
ENSMUSG00000039182	ENSMUSG00000084231	ENSMUSG00000043164
ENSMUSG00000024528	ENSMUSG00000084917	ENSMUSG00000085298
ENSMUSG00000019814	ENSMUSG00000025105	ENSMUSG00000041698
ENSMUSG00000033020	ENSMUSG00000025602	ENSMUSG00000097607
ENSMUSG00000001767	ENSMUSG00000068745	ENSMUSG00000028386
ENSMUSG00000039329	ENSMUSG00000053925	ENSMUSG00000047562
ENSMUSG00000041645	ENSMUSG00000023169	ENSMUSG00000078921
ENSMUSG00000027387	ENSMUSG00000097187	ENSMUSG00000061259
ENSMUSG00000071151	ENSMUSG00000095295	ENSMUSG00000086848
ENSMUSG00000013833	ENSMUSG00000085168	ENSMUSG00000051906
ENSMUSG00000038762	ENSMUSG00000047193	ENSMUSG00000045539
ENSMUSG00000002319	ENSMUSG00000046574	ENSMUSG00000090990
ENSMUSG00000003778	ENSMUSG00000025742	ENSMUSG00000043448
ENSMUSG00000080801	ENSMUSG00000083359	ENSMUSG00000034774
ENSMUSG00000036315	ENSMUSG00000072731	ENSMUSG00000040113
ENSMUSG00000034333	ENSMUSG00000097620	ENSMUSG00000024173
ENSMUSG00000026254	ENSMUSG00000020740	ENSMUSG00000070661
ENSMUSG00000059669	ENSMUSG00000094929	ENSMUSG00000056370
ENSMUSG00000027079	ENSMUSG00000034673	ENSMUSG00000023073
ENSMUSG00000027115	ENSMUSG00000031734	ENSMUSG00000054215
ENSMUSG00000021692	ENSMUSG00000049550	ENSMUSG00000061068
ENSMUSG00000022538	ENSMUSG00000079396	ENSMUSG00000096719
ENSMUSG00000063410	ENSMUSG00000095024	ENSMUSG00000046922
ENSMUSG00000021911	ENSMUSG00000027245	ENSMUSG00000095062
ENSMUSG00000082218	ENSMUSG00000046152	ENSMUSG00000038201
ENSMUSG00000036112	ENSMUSG00000034303	ENSMUSG00000084929
ENSMUSG00000087233	ENSMUSG00000059658	ENSMUSG00000020581
ENSMUSG00000050240	ENSMUSG00000074452	ENSMUSG00000046095
ENSMUSG00000022833	ENSMUSG00000037286	ENSMUSG00000091479
ENSMUSG00000024926	ENSMUSG00000096470	ENSMUSG00000006777
ENSMUSG00000021179	ENSMUSG00000027349	ENSMUSG00000039196
ENSMUSG00000015961	ENSMUSG00000021846	ENSMUSG00000044860
ENSMUSG00000022724	ENSMUSG00000093985	ENSMUSG00000027908
ENSMUSG00000003208	ENSMUSG00000085575	ENSMUSG00000053863
ENSMUSG00000071661	ENSMUSG00000084582	ENSMUSG00000063767
ENSMUSG00000024824	ENSMUSG00000024654	ENSMUSG00000040660
ENSMUSG00000021218	ENSMUSG00000097133	ENSMUSG00000087194
ENSMUSG00000025142	ENSMUSG00000030516	ENSMUSG00000049605
ENSMUSG00000007411	ENSMUSG00000087523	ENSMUSG00000081723
ENSMUSG00000015126	ENSMUSG00000085687	ENSMUSG00000069584
ENSMUSG00000015759	ENSMUSG00000031216	ENSMUSG00000002831
ENSMUSG00000078676	ENSMUSG00000063254	ENSMUSG00000027401
ENSMUSG00000061024	ENSMUSG00000019971	ENSMUSG00000033196
ENSMUSG00000044250	ENSMUSG00000032267	ENSMUSG00000048764
ENSMUSG00000022000	ENSMUSG00000057551	ENSMUSG00000027375
ENSMUSG00000024982	ENSMUSG00000087719	ENSMUSG00000078657
ENSMUSG00000034175	ENSMUSG00000079487	ENSMUSG00000025014
ENSMUSG00000050628	ENSMUSG00000062417	ENSMUSG00000026983
ENSMUSG00000069135	ENSMUSG00000083736	ENSMUSG00000050092
ENSMUSG00000023755	ENSMUSG00000067194	ENSMUSG00000040328
ENSMUSG00000025209	ENSMUSG00000081619	ENSMUSG00000038801
ENSMUSG00000022407	ENSMUSG00000032402	ENSMUSG00000029656
ENSMUSG00000079036	ENSMUSG00000031311	ENSMUSG00000031372
ENSMUSG00000006715	ENSMUSG00000095326	ENSMUSG00000082116
ENSMUSG00000090042	ENSMUSG00000022837	ENSMUSG00000000876
ENSMUSG00000074868	ENSMUSG00000081221	ENSMUSG00000033533
ENSMUSG00000092390	ENSMUSG00000018595	ENSMUSG00000068885
ENSMUSG00000097398	ENSMUSG00000052915	ENSMUSG00000046589
ENSMUSG00000034154	ENSMUSG00000079277	ENSMUSG00000047517
ENSMUSG00000092374	ENSMUSG00000032480	ENSMUSG00000024353
ENSMUSG00000021392	ENSMUSG00000031548	ENSMUSG00000074486
ENSMUSG00000016619	ENSMUSG00000098000	ENSMUSG00000083079
ENSMUSG00000042660	ENSMUSG00000082625	ENSMUSG00000059657
ENSMUSG00000073233	ENSMUSG00000066538	ENSMUSG00000026062
ENSMUSG00000025134	ENSMUSG00000085819	ENSMUSG00000057723
ENSMUSG00000040054	ENSMUSG00000031754	ENSMUSG00000011034
ENSMUSG00000039615	ENSMUSG00000031174	ENSMUSG00000053353
ENSMUSG00000080791	ENSMUSG00000082250	ENSMUSG00000032807
ENSMUSG00000038240	ENSMUSG00000066771	ENSMUSG00000071521
ENSMUSG00000041346	ENSMUSG00000033712	ENSMUSG00000040154
ENSMUSG00000033530	ENSMUSG00000032293	ENSMUSG00000097339
ENSMUSG00000081208	ENSMUSG00000066687	ENSMUSG00000084927
ENSMUSG00000079104	ENSMUSG00000082260	ENSMUSG00000078599
ENSMUSG00000024273	ENSMUSG00000031314	ENSMUSG00000022219
ENSMUSG00000026779	ENSMUSG00000082323	ENSMUSG00000031635
ENSMUSG00000043183	ENSMUSG00000090370	ENSMUSG00000073601
ENSMUSG00000037487	ENSMUSG00000056061	ENSMUSG00000048775
ENSMUSG00000071207	ENSMUSG00000089924	ENSMUSG00000073602
ENSMUSG00000055884	ENSMUSG00000081118	ENSMUSG00000026315
ENSMUSG00000027284	ENSMUSG00000069074	ENSMUSG00000061825
ENSMUSG00000019297	ENSMUSG00000001493	ENSMUSG00000096770
ENSMUSG00000020526	ENSMUSG00000081738	ENSMUSG00000071471
ENSMUSG00000025436	ENSMUSG00000017724	ENSMUSG00000052270
ENSMUSG00000041079	ENSMUSG00000092483	ENSMUSG00000079278
ENSMUSG00000035161	ENSMUSG00000091418	ENSMUSG00000085244
ENSMUSG00000026429	ENSMUSG00000032349	ENSMUSG00000042433
ENSMUSG00000026806	ENSMUSG00000022400	ENSMUSG00000062751
ENSMUSG00000035198	ENSMUSG00000069270	ENSMUSG00000005716
ENSMUSG00000043241	ENSMUSG00000073791	ENSMUSG00000025497
ENSMUSG00000020923	ENSMUSG00000065663	ENSMUSG00000053719
ENSMUSG00000020870	ENSMUSG00000083342	ENSMUSG00000096569
ENSMUSG00000024660	ENSMUSG00000036057	ENSMUSG00000071342
ENSMUSG00000058290	ENSMUSG00000081677	ENSMUSG00000050440
ENSMUSG00000020078	ENSMUSG00000097278	ENSMUSG00000015314
ENSMUSG00000074881	ENSMUSG00000040612	ENSMUSG00000049709
ENSMUSG00000026558	ENSMUSG00000063412	ENSMUSG00000074268
ENSMUSG00000042133	ENSMUSG00000075837	ENSMUSG00000080917
ENSMUSG00000051316	ENSMUSG00000020289	ENSMUSG00000008845
ENSMUSG00000024369	ENSMUSG00000064622	ENSMUSG00000059014
ENSMUSG00000074841	ENSMUSG00000078752	ENSMUSG00000085683
ENSMUSG00000002524	ENSMUSG00000034342	ENSMUSG00000038092
ENSMUSG00000024732	ENSMUSG00000097912	ENSMUSG00000047462
ENSMUSG00000022559	ENSMUSG00000029623	ENSMUSG00000087695
ENSMUSG00000041168	ENSMUSG00000084408	ENSMUSG00000044359
ENSMUSG00000017210	ENSMUSG00000092167	ENSMUSG00000095649
ENSMUSG00000036160	ENSMUSG00000086141	ENSMUSG00000044206
ENSMUSG00000069020	ENSMUSG00000082095	ENSMUSG00000017316
ENSMUSG00000082542	ENSMUSG00000078584	ENSMUSG00000093931
ENSMUSG00000090860	ENSMUSG00000068130	ENSMUSG00000046275
ENSMUSG00000009076	ENSMUSG00000087138	ENSMUSG00000061718
ENSMUSG00000010097	ENSMUSG00000075588	ENSMUSG00000070360
ENSMUSG00000022550	ENSMUSG00000032512	ENSMUSG00000019762
ENSMUSG00000071645	ENSMUSG00000074629	ENSMUSG00000051431
ENSMUSG00000035021	ENSMUSG00000085583	ENSMUSG00000085250
ENSMUSG00000072419	ENSMUSG00000044452	ENSMUSG00000029378
ENSMUSG00000024241	ENSMUSG00000070425	ENSMUSG00000024679
ENSMUSG00000055041	ENSMUSG00000054256	ENSMUSG00000033898
ENSMUSG00000002308	ENSMUSG00000097246	ENSMUSG00000032978
ENSMUSG00000025156	ENSMUSG00000091472	ENSMUSG00000032226
ENSMUSG00000081223	ENSMUSG00000064634	ENSMUSG00000029727
ENSMUSG00000026917	ENSMUSG00000032232	ENSMUSG00000005355
ENSMUSG00000060950	ENSMUSG00000085057	ENSMUSG00000042734
ENSMUSG00000018733	ENSMUSG00000083744	ENSMUSG00000063821
ENSMUSG00000022313	ENSMUSG00000031608	ENSMUSG00000027656
ENSMUSG00000090083	ENSMUSG00000001525	ENSMUSG00000097194
ENSMUSG00000079966	ENSMUSG00000091814	ENSMUSG00000087689
ENSMUSG00000071454	ENSMUSG00000027326	ENSMUSG00000028262
ENSMUSG00000051518	ENSMUSG00000032040	ENSMUSG00000021622
ENSMUSG00000058581	ENSMUSG00000007827	ENSMUSG00000022303
ENSMUSG00000044065	ENSMUSG00000097105	ENSMUSG00000044748
ENSMUSG00000014771	ENSMUSG00000077614	ENSMUSG00000026822
ENSMUSG00000024217	ENSMUSG00000019878	ENSMUSG00000046804
ENSMUSG00000021731	ENSMUSG00000091336	ENSMUSG00000036172
ENSMUSG00000022034	ENSMUSG00000075324	ENSMUSG00000063903
ENSMUSG00000049489	ENSMUSG00000042607	ENSMUSG00000024308
ENSMUSG00000021255	ENSMUSG00000079215	ENSMUSG00000024184
ENSMUSG00000019578	ENSMUSG00000036737	ENSMUSG00000030167
ENSMUSG00000022466	ENSMUSG00000097625	ENSMUSG00000035860
ENSMUSG00000089698	ENSMUSG00000032050	ENSMUSG00000050195
ENSMUSG00000046034	ENSMUSG00000086286	ENSMUSG00000000290
ENSMUSG00000026659	ENSMUSG00000001379	ENSMUSG00000031981
ENSMUSG00000025173	ENSMUSG00000083367	ENSMUSG00000029377
ENSMUSG00000035953	ENSMUSG00000070282	ENSMUSG00000094613
ENSMUSG00000081052	ENSMUSG00000085645	ENSMUSG00000052974
ENSMUSG00000022533	ENSMUSG00000082429	ENSMUSG00000075010
ENSMUSG00000034883	ENSMUSG00000061524	ENSMUSG00000028571
ENSMUSG00000087629	ENSMUSG00000040459	ENSMUSG00000076609
ENSMUSG00000091905	ENSMUSG00000094655	ENSMUSG00000016194
ENSMUSG00000026955	ENSMUSG00000095651	ENSMUSG00000032864
ENSMUSG00000021965	ENSMUSG00000086077	ENSMUSG00000056270
ENSMUSG00000034391	ENSMUSG00000086268	ENSMUSG00000026981
ENSMUSG00000094683	ENSMUSG00000042595	ENSMUSG00000095811
ENSMUSG00000094130	ENSMUSG00000086826	ENSMUSG00000066704
ENSMUSG00000022710	ENSMUSG00000024735	ENSMUSG00000038791
ENSMUSG00000026670	ENSMUSG00000056777	ENSMUSG00000093916
ENSMUSG00000038812	ENSMUSG00000090599	ENSMUSG00000070552
ENSMUSG00000097039	ENSMUSG00000042246	ENSMUSG00000085942
ENSMUSG00000003234	ENSMUSG00000084138	ENSMUSG00000041991
ENSMUSG00000049491	ENSMUSG00000042369	ENSMUSG00000042638
ENSMUSG00000041278	ENSMUSG00000040661	ENSMUSG00000005800
ENSMUSG00000021598	ENSMUSG00000068200	ENSMUSG00000079451
ENSMUSG00000035139	ENSMUSG00000036916	ENSMUSG00000048473
ENSMUSG00000036223	ENSMUSG00000085591	ENSMUSG00000093394
ENSMUSG00000023156	ENSMUSG00000081583	ENSMUSG00000028255
ENSMUSG00000034190	ENSMUSG00000090626	ENSMUSG00000089722
ENSMUSG00000063200	ENSMUSG00000095134	ENSMUSG00000054537
ENSMUSG00000071054	ENSMUSG00000032199	ENSMUSG00000025129
ENSMUSG00000021477	ENSMUSG00000083353	ENSMUSG00000020150
ENSMUSG00000081404	ENSMUSG00000072969	ENSMUSG00000090747
ENSMUSG00000081930	ENSMUSG00000031381	ENSMUSG00000085944
ENSMUSG00000026622	ENSMUSG00000097418	ENSMUSG00000068341
ENSMUSG00000020171	ENSMUSG00000032115	ENSMUSG00000031382
ENSMUSG00000007589	ENSMUSG00000081622	ENSMUSG00000093458
ENSMUSG00000020166	ENSMUSG00000075589	ENSMUSG00000043681
ENSMUSG00000073197	ENSMUSG00000097971	ENSMUSG00000093973
ENSMUSG00000021871	ENSMUSG00000036459	ENSMUSG00000034528
ENSMUSG00000069910	ENSMUSG00000083993	ENSMUSG00000026072
ENSMUSG00000020534	ENSMUSG00000050855	ENSMUSG00000090817
ENSMUSG00000020946	ENSMUSG00000074354	ENSMUSG00000025934
ENSMUSG00000001627	ENSMUSG00000029697	ENSMUSG00000027913
ENSMUSG00000096923	ENSMUSG00000021990	ENSMUSG00000040600
ENSMUSG00000066693	ENSMUSG00000082512	ENSMUSG00000068008
ENSMUSG00000025839	ENSMUSG00000087396	ENSMUSG00000036951
ENSMUSG00000021681	ENSMUSG00000030313	ENSMUSG00000047511
ENSMUSG00000024816	ENSMUSG00000033054	ENSMUSG00000028037
ENSMUSG00000020630	ENSMUSG00000000378	ENSMUSG00000063394
ENSMUSG00000024563	ENSMUSG00000096438	ENSMUSG00000028186
ENSMUSG00000024002	ENSMUSG00000051950	ENSMUSG00000031430
ENSMUSG00000080268	ENSMUSG00000031371	ENSMUSG00000089712
ENSMUSG00000036376	ENSMUSG00000015217	ENSMUSG00000048013
ENSMUSG00000022394	ENSMUSG00000038489	ENSMUSG00000070323
ENSMUSG00000046756	ENSMUSG00000071291	ENSMUSG00000020096
ENSMUSG00000034274	ENSMUSG00000073293	ENSMUSG00000084965
ENSMUSG00000037015	ENSMUSG00000071083	ENSMUSG00000052749
ENSMUSG00000086837	ENSMUSG00000035215	ENSMUSG00000085032
ENSMUSG00000026641	ENSMUSG00000070583	ENSMUSG00000092517
ENSMUSG00000021468	ENSMUSG00000032407	ENSMUSG00000006360
ENSMUSG00000081693	ENSMUSG00000056468	ENSMUSG00000028236
ENSMUSG00000045842	ENSMUSG00000033904	ENSMUSG00000061928
ENSMUSG00000083169	ENSMUSG00000058922	ENSMUSG00000028148
ENSMUSG00000087635	ENSMUSG00000049739	ENSMUSG00000072600
ENSMUSG00000004937	ENSMUSG00000084433	ENSMUSG00000058488
ENSMUSG00000084139	ENSMUSG00000035133	ENSMUSG00000087579
ENSMUSG00000006304	ENSMUSG00000081570	ENSMUSG00000070465
ENSMUSG00000035845	ENSMUSG00000097253	ENSMUSG00000086177
ENSMUSG00000047417	ENSMUSG00000057706	ENSMUSG00000071356
ENSMUSG00000069620	ENSMUSG00000095912	ENSMUSG00000051437
ENSMUSG00000082032	ENSMUSG00000094634	ENSMUSG00000030160
ENSMUSG00000098104	ENSMUSG00000081720	ENSMUSG00000084939
ENSMUSG00000046791	ENSMUSG00000097158	ENSMUSG00000064057
ENSMUSG00000024791	ENSMUSG00000059363	ENSMUSG00000042686
ENSMUSG00000071229	ENSMUSG00000054247	ENSMUSG00000089916
ENSMUSG00000074826	ENSMUSG00000055357	ENSMUSG00000094733
ENSMUSG00000021306	ENSMUSG00000053110	ENSMUSG00000070368
ENSMUSG00000081185	ENSMUSG00000050900	ENSMUSG00000049694
ENSMUSG00000020235	ENSMUSG00000049307	ENSMUSG00000091954
ENSMUSG00000083064	ENSMUSG00000021945	ENSMUSG00000025515
ENSMUSG00000097715	ENSMUSG00000019564	ENSMUSG00000048455
ENSMUSG00000084098	ENSMUSG00000077804	ENSMUSG00000044217
ENSMUSG00000058463	ENSMUSG00000089185	ENSMUSG00000024887
ENSMUSG00000084104	ENSMUSG00000027306	ENSMUSG00000029158
ENSMUSG00000022682	ENSMUSG00000042557	ENSMUSG00000038691
ENSMUSG00000037570	ENSMUSG00000095797	ENSMUSG00000094584
ENSMUSG00000058550	ENSMUSG00000024590	ENSMUSG00000032053
ENSMUSG00000021824	ENSMUSG00000056215	ENSMUSG00000056035
ENSMUSG00000021258	ENSMUSG00000025646	ENSMUSG00000070385
ENSMUSG00000018171	ENSMUSG00000036572	ENSMUSG00000062563
ENSMUSG00000096795	ENSMUSG00000084892	ENSMUSG00000039304
ENSMUSG00000064181	ENSMUSG00000097127	ENSMUSG00000037974
ENSMUSG00000024218	ENSMUSG00000029587	ENSMUSG00000028749
ENSMUSG00000026246	ENSMUSG00000089979	ENSMUSG00000053469
ENSMUSG00000081552	ENSMUSG00000087368	ENSMUSG00000064294
ENSMUSG00000091775	ENSMUSG00000043410	ENSMUSG00000061906
ENSMUSG00000034206	ENSMUSG00000098101	ENSMUSG00000020256
ENSMUSG00000022109	ENSMUSG00000082651	ENSMUSG00000067001
ENSMUSG00000036281	ENSMUSG00000093979	ENSMUSG00000061462
ENSMUSG00000091931	ENSMUSG00000079553	ENSMUSG00000020904
ENSMUSG00000020255	ENSMUSG00000032280	ENSMUSG00000020913
ENSMUSG00000039810	ENSMUSG00000058013	ENSMUSG00000026272
ENSMUSG00000019792	ENSMUSG00000032481	ENSMUSG00000002588
ENSMUSG00000037526	ENSMUSG00000030170	ENSMUSG00000050578
ENSMUSG00000017831	ENSMUSG00000044927	ENSMUSG00000022408
ENSMUSG00000005354	ENSMUSG00000031652	ENSMUSG00000041827
ENSMUSG00000035595	ENSMUSG00000029402	ENSMUSG00000031519
ENSMUSG00000016526	ENSMUSG00000029660	ENSMUSG00000029685
ENSMUSG00000056671	ENSMUSG00000064600	ENSMUSG00000031258
ENSMUSG00000082258	ENSMUSG00000078931	ENSMUSG00000050808
ENSMUSG00000051390	ENSMUSG00000035299	ENSMUSG00000029445
ENSMUSG00000084034	ENSMUSG00000031931	ENSMUSG00000034139
ENSMUSG00000020059	ENSMUSG00000082253	ENSMUSG00000082047
ENSMUSG00000022978	ENSMUSG00000028243	ENSMUSG00000006269
ENSMUSG00000076999	ENSMUSG00000063018	ENSMUSG00000028185
ENSMUSG00000081296	ENSMUSG00000040123	ENSMUSG00000039462
ENSMUSG00000083903	ENSMUSG00000059772	ENSMUSG00000085786
ENSMUSG00000000730	ENSMUSG00000021704	ENSMUSG00000043263
ENSMUSG00000033323	ENSMUSG00000097048	ENSMUSG00000023274
ENSMUSG00000084329	ENSMUSG00000051674	ENSMUSG00000055805
ENSMUSG00000026740	ENSMUSG00000097722	ENSMUSG00000024225
ENSMUSG00000049957	ENSMUSG00000084804	ENSMUSG00000033327
ENSMUSG00000000028	ENSMUSG00000072739	ENSMUSG00000001508
ENSMUSG00000020755	ENSMUSG00000073130	ENSMUSG00000027670
ENSMUSG00000063236	ENSMUSG00000072972	ENSMUSG00000051748
ENSMUSG00000092039	ENSMUSG00000091306	ENSMUSG00000022097
ENSMUSG00000092062	ENSMUSG00000082778	ENSMUSG00000094891
ENSMUSG00000041815	ENSMUSG00000083287	ENSMUSG00000063651
ENSMUSG00000092417	ENSMUSG00000093721	ENSMUSG00000024386
ENSMUSG00000058622	ENSMUSG00000083387	ENSMUSG00000043122
ENSMUSG00000090758	ENSMUSG00000039128	ENSMUSG00000026668
ENSMUSG00000025373	ENSMUSG00000030507	ENSMUSG00000057933
ENSMUSG00000019969	ENSMUSG00000047654	ENSMUSG00000026989
ENSMUSG00000085783	ENSMUSG00000097901	ENSMUSG00000027483
ENSMUSG00000042414	ENSMUSG00000026970	ENSMUSG00000046213
ENSMUSG00000081249	ENSMUSG00000065202	ENSMUSG00000044322
ENSMUSG00000036208	ENSMUSG00000054280	ENSMUSG00000044737
ENSMUSG00000022992	ENSMUSG00000071112	ENSMUSG00000079339
ENSMUSG00000073198	ENSMUSG00000094568	ENSMUSG00000031779
ENSMUSG00000020397	ENSMUSG00000025626	ENSMUSG00000074377
ENSMUSG00000032769	ENSMUSG00000053091	ENSMUSG00000023904
ENSMUSG00000042229	ENSMUSG00000032244	ENSMUSG00000041681
ENSMUSG00000020198	ENSMUSG00000091148	ENSMUSG00000028238
ENSMUSG00000037343	ENSMUSG00000032555	ENSMUSG00000049241
ENSMUSG00000085202	ENSMUSG00000042514	ENSMUSG00000023041
ENSMUSG00000020611	ENSMUSG00000088309	ENSMUSG00000094302
ENSMUSG00000096449	ENSMUSG00000045969	ENSMUSG00000045502
ENSMUSG00000020232	ENSMUSG00000050148	ENSMUSG00000050645
ENSMUSG00000005312	ENSMUSG00000055210	ENSMUSG00000094808
ENSMUSG00000025050	ENSMUSG00000023991	ENSMUSG00000041538
ENSMUSG00000021391	ENSMUSG00000060336	ENSMUSG00000040264
ENSMUSG00000040693	ENSMUSG00000032498	ENSMUSG00000061540
ENSMUSG00000081973	ENSMUSG00000027550	ENSMUSG00000044041
ENSMUSG00000023272	ENSMUSG00000089760	ENSMUSG00000057003
ENSMUSG00000004934	ENSMUSG00000055320	ENSMUSG00000023057
ENSMUSG00000086324	ENSMUSG00000060777	ENSMUSG00000079164
ENSMUSG00000079502	ENSMUSG00000085894	ENSMUSG00000094393
ENSMUSG00000024045	ENSMUSG00000037007	ENSMUSG00000074300
ENSMUSG00000091014	ENSMUSG00000031386	ENSMUSG00000044734
ENSMUSG00000083458	ENSMUSG00000064802	ENSMUSG00000086298
ENSMUSG00000022972	ENSMUSG00000046413	ENSMUSG00000041578
ENSMUSG00000043284	ENSMUSG00000097003	ENSMUSG00000021565
ENSMUSG00000063895	ENSMUSG00000003573	ENSMUSG00000039264
ENSMUSG00000086726	ENSMUSG00000095562	ENSMUSG00000031849
ENSMUSG00000022248	ENSMUSG00000032409	ENSMUSG00000017688
ENSMUSG00000035890	ENSMUSG00000042688	ENSMUSG00000062345
ENSMUSG00000086059	ENSMUSG00000037025	ENSMUSG00000063232
ENSMUSG00000000884	ENSMUSG00000086569	ENSMUSG00000040485
ENSMUSG00000054206	ENSMUSG00000059005	ENSMUSG00000026358
ENSMUSG00000000776	ENSMUSG00000059830	ENSMUSG00000030724
ENSMUSG00000049658	ENSMUSG00000042138	ENSMUSG00000049848
ENSMUSG00000021666	ENSMUSG00000096014	ENSMUSG00000089635
ENSMUSG00000022848	ENSMUSG00000019823	ENSMUSG00000056328
ENSMUSG00000044639	ENSMUSG00000081745	ENSMUSG00000008874
ENSMUSG00000020079	ENSMUSG00000052187	ENSMUSG00000028712
ENSMUSG00000018765	ENSMUSG00000037660	ENSMUSG00000029280
ENSMUSG00000081070	ENSMUSG00000005198	ENSMUSG00000052730
ENSMUSG00000026162	ENSMUSG00000004099	ENSMUSG00000074771
ENSMUSG00000080904	ENSMUSG00000090300	ENSMUSG00000045761
ENSMUSG00000034889	ENSMUSG00000086421	ENSMUSG00000014542
ENSMUSG00000025024	ENSMUSG00000042498	ENSMUSG00000050866
ENSMUSG00000034773	ENSMUSG00000046295	ENSMUSG00000053467
ENSMUSG00000036752	ENSMUSG00000022119	ENSMUSG00000097233
ENSMUSG00000026064	ENSMUSG00000034263	ENSMUSG00000000216
ENSMUSG00000035278	ENSMUSG00000095366	ENSMUSG00000037346
ENSMUSG00000034931	ENSMUSG00000064141	ENSMUSG00000084773
ENSMUSG00000040888	ENSMUSG00000021495	ENSMUSG00000028860
ENSMUSG00000010914	ENSMUSG00000055795	ENSMUSG00000060613
ENSMUSG00000048076	ENSMUSG00000090627	ENSMUSG00000066682
ENSMUSG00000021377	ENSMUSG00000019927	ENSMUSG00000032454
ENSMUSG00000026869	ENSMUSG00000086993	ENSMUSG00000084793
ENSMUSG00000023927	ENSMUSG00000057134	ENSMUSG00000062082
ENSMUSG00000092984	ENSMUSG00000072432	ENSMUSG00000026327
ENSMUSG00000090673	ENSMUSG00000008307	ENSMUSG00000046886
ENSMUSG00000093568	ENSMUSG00000007279	ENSMUSG00000000215
ENSMUSG00000069996	ENSMUSG00000063663	ENSMUSG00000072473
ENSMUSG00000084259	ENSMUSG00000055065	ENSMUSG00000092216
ENSMUSG00000024805	ENSMUSG00000036537	ENSMUSG00000027322
ENSMUSG00000092557	ENSMUSG00000072662	ENSMUSG00000087662
ENSMUSG00000024604	ENSMUSG00000085412	ENSMUSG00000075217
ENSMUSG00000091144	ENSMUSG00000081668	ENSMUSG00000031138
ENSMUSG00000082108	ENSMUSG00000092185	ENSMUSG00000024885
ENSMUSG00000051378	ENSMUSG00000090290	ENSMUSG00000056078
ENSMUSG00000083183	ENSMUSG00000036139	ENSMUSG00000094146
ENSMUSG00000021036	ENSMUSG00000078528	ENSMUSG00000067006
ENSMUSG00000097414	ENSMUSG00000083668	ENSMUSG00000032057
ENSMUSG00000022863	ENSMUSG00000096768	ENSMUSG00000022598
ENSMUSG00000076258	ENSMUSG00000084809	ENSMUSG00000054046
ENSMUSG00000023935	ENSMUSG00000083926	ENSMUSG00000078780
ENSMUSG00000002658	ENSMUSG00000060887	ENSMUSG00000070695
ENSMUSG00000047146	ENSMUSG00000046441	ENSMUSG00000070811
ENSMUSG00000026484	ENSMUSG00000060727	ENSMUSG00000035852
ENSMUSG00000022951	ENSMUSG00000033703	ENSMUSG00000034634
ENSMUSG00000022314	ENSMUSG00000097412	ENSMUSG00000091376
ENSMUSG00000045665	ENSMUSG00000062480	ENSMUSG00000079343
ENSMUSG00000090273	ENSMUSG00000049832	ENSMUSG00000043430
ENSMUSG00000022500	ENSMUSG00000083595	ENSMUSG00000020805
ENSMUSG00000001151	ENSMUSG00000072421	ENSMUSG00000028217
ENSMUSG00000088609	ENSMUSG00000060989	ENSMUSG00000023918
ENSMUSG00000046139	ENSMUSG00000007613	ENSMUSG00000027857
ENSMUSG00000021189	ENSMUSG00000032571	ENSMUSG00000046240
ENSMUSG00000019303	ENSMUSG00000094825	ENSMUSG00000071203
ENSMUSG00000022021	ENSMUSG00000093739	ENSMUSG00000038656
ENSMUSG00000032783	ENSMUSG00000079297	ENSMUSG00000040705
ENSMUSG00000023015	ENSMUSG00000097868	ENSMUSG00000078664
ENSMUSG00000035958	ENSMUSG00000085700	ENSMUSG00000074872
ENSMUSG00000080078	ENSMUSG00000038930	ENSMUSG00000052392
ENSMUSG00000082534	ENSMUSG00000098026	ENSMUSG00000067158
ENSMUSG00000020988	ENSMUSG00000019261	ENSMUSG00000026258
ENSMUSG00000073371	ENSMUSG00000058301	ENSMUSG00000084195
ENSMUSG00000022706	ENSMUSG00000028134	ENSMUSG00000038641
