Cleav.Blastula	Gastrula	Segmentation	Pharyngula	Larva	Juvenile	Adult
ENSDARG00000006705	ENSDARG00000005057	ENSDARG00000007891	ENSDARG00000008540	ENSDARG00000012555	ENSDARG00000019752	ENSDARG00000026864
ENSDARG00000006877	ENSDARG00000005122	ENSDARG00000007943	ENSDARG00000008720	ENSDARG00000014095	ENSDARG00000020387	ENSDARG00000027161
ENSDARG00000006978	ENSDARG00000005185	ENSDARG00000007960	ENSDARG00000008861	ENSDARG00000014280	ENSDARG00000020994	ENSDARG00000028815
ENSDARG00000007025	ENSDARG00000005236	ENSDARG00000007996	ENSDARG00000008982	ENSDARG00000014792	ENSDARG00000021339	ENSDARG00000029146
ENSDARG00000007387	ENSDARG00000005320	ENSDARG00000008174	ENSDARG00000009693	ENSDARG00000014840	ENSDARG00000021405	ENSDARG00000029720
ENSDARG00000007485	ENSDARG00000005463	ENSDARG00000008278	ENSDARG00000009922	ENSDARG00000014910	ENSDARG00000021573	ENSDARG00000031359
ENSDARG00000007566	ENSDARG00000005551	ENSDARG00000008377	ENSDARG00000010144	ENSDARG00000014973	ENSDARG00000021866	ENSDARG00000033071
ENSDARG00000007764	ENSDARG00000005567	ENSDARG00000008423	ENSDARG00000010207	ENSDARG00000015053	ENSDARG00000022944	ENSDARG00000035601
ENSDARG00000007786	ENSDARG00000005612	ENSDARG00000008433	ENSDARG00000010565	ENSDARG00000015445	ENSDARG00000025089	ENSDARG00000035709
ENSDARG00000007869	ENSDARG00000005675	ENSDARG00000008662	ENSDARG00000010591	ENSDARG00000015794	ENSDARG00000025608	ENSDARG00000035875
ENSDARG00000007886	ENSDARG00000005699	ENSDARG00000008796	ENSDARG00000010758	ENSDARG00000015854	ENSDARG00000026017	ENSDARG00000036430
ENSDARG00000008395	ENSDARG00000005945	ENSDARG00000008803	ENSDARG00000011235	ENSDARG00000016213	ENSDARG00000027799	ENSDARG00000037056
ENSDARG00000008884	ENSDARG00000006005	ENSDARG00000008886	ENSDARG00000011549	ENSDARG00000016460	ENSDARG00000027903	ENSDARG00000037245
ENSDARG00000008966	ENSDARG00000006038	ENSDARG00000008986	ENSDARG00000011582	ENSDARG00000016667	ENSDARG00000028393	ENSDARG00000037619
ENSDARG00000009214	ENSDARG00000006110	ENSDARG00000009045	ENSDARG00000012682	ENSDARG00000017007	ENSDARG00000028412	ENSDARG00000037964
ENSDARG00000010031	ENSDARG00000006225	ENSDARG00000009178	ENSDARG00000012697	ENSDARG00000017108	ENSDARG00000029446	ENSDARG00000038405
ENSDARG00000010108	ENSDARG00000006350	ENSDARG00000009346	ENSDARG00000013063	ENSDARG00000017162	ENSDARG00000029995	ENSDARG00000038682
ENSDARG00000010181	ENSDARG00000006467	ENSDARG00000009387	ENSDARG00000013125	ENSDARG00000017634	ENSDARG00000030157	ENSDARG00000038956
ENSDARG00000010301	ENSDARG00000006524	ENSDARG00000009438	ENSDARG00000013340	ENSDARG00000017790	ENSDARG00000030215	ENSDARG00000039243
ENSDARG00000010601	ENSDARG00000006527	ENSDARG00000009447	ENSDARG00000013607	ENSDARG00000018032	ENSDARG00000030893	ENSDARG00000039657
ENSDARG00000010603	ENSDARG00000006566	ENSDARG00000009449	ENSDARG00000013930	ENSDARG00000018109	ENSDARG00000030915	ENSDARG00000039682
ENSDARG00000010654	ENSDARG00000006602	ENSDARG00000009461	ENSDARG00000014018	ENSDARG00000018521	ENSDARG00000031413	ENSDARG00000039824
ENSDARG00000010712	ENSDARG00000006666	ENSDARG00000009534	ENSDARG00000014321	ENSDARG00000018817	ENSDARG00000031683	ENSDARG00000040254
ENSDARG00000010783	ENSDARG00000006939	ENSDARG00000010192	ENSDARG00000014420	ENSDARG00000018896	ENSDARG00000032601	ENSDARG00000040735
ENSDARG00000011072	ENSDARG00000007092	ENSDARG00000010266	ENSDARG00000014674	ENSDARG00000019782	ENSDARG00000033594	ENSDARG00000042339
ENSDARG00000011493	ENSDARG00000007099	ENSDARG00000010270	ENSDARG00000015015	ENSDARG00000019902	ENSDARG00000033684	ENSDARG00000042536
ENSDARG00000011506	ENSDARG00000007130	ENSDARG00000010408	ENSDARG00000015076	ENSDARG00000020231	ENSDARG00000033832	ENSDARG00000042621
ENSDARG00000011570	ENSDARG00000007217	ENSDARG00000010432	ENSDARG00000015144	ENSDARG00000020450	ENSDARG00000034098	ENSDARG00000042793
ENSDARG00000011605	ENSDARG00000007221	ENSDARG00000010461	ENSDARG00000015314	ENSDARG00000020602	ENSDARG00000034243	ENSDARG00000042992
ENSDARG00000011879	ENSDARG00000007329	ENSDARG00000010462	ENSDARG00000015567	ENSDARG00000020758	ENSDARG00000035309	ENSDARG00000043142
ENSDARG00000011945	ENSDARG00000007377	ENSDARG00000010477	ENSDARG00000015601	ENSDARG00000021345	ENSDARG00000035458	ENSDARG00000043175
ENSDARG00000012741	ENSDARG00000007387	ENSDARG00000010583	ENSDARG00000015627	ENSDARG00000022251	ENSDARG00000035553	ENSDARG00000043196
ENSDARG00000012745	ENSDARG00000007795	ENSDARG00000010630	ENSDARG00000015717	ENSDARG00000022587	ENSDARG00000035918	ENSDARG00000043328
ENSDARG00000013222	ENSDARG00000007836	ENSDARG00000010710	ENSDARG00000015876	ENSDARG00000022951	ENSDARG00000035944	ENSDARG00000043719
ENSDARG00000013460	ENSDARG00000007863	ENSDARG00000010767	ENSDARG00000015947	ENSDARG00000023058	ENSDARG00000036186	ENSDARG00000043850
ENSDARG00000013492	ENSDARG00000007901	ENSDARG00000010770	ENSDARG00000015959	ENSDARG00000023683	ENSDARG00000036787	ENSDARG00000044326
ENSDARG00000013542	ENSDARG00000007960	ENSDARG00000010771	ENSDARG00000016022	ENSDARG00000023771	ENSDARG00000036846	ENSDARG00000044415
ENSDARG00000013596	ENSDARG00000008068	ENSDARG00000010784	ENSDARG00000016084	ENSDARG00000023861	ENSDARG00000036940	ENSDARG00000045453
ENSDARG00000013694	ENSDARG00000008097	ENSDARG00000010878	ENSDARG00000016260	ENSDARG00000023886	ENSDARG00000037067	ENSDARG00000045469
ENSDARG00000013705	ENSDARG00000008141	ENSDARG00000011020	ENSDARG00000016343	ENSDARG00000023940	ENSDARG00000037421	ENSDARG00000045646
ENSDARG00000013861	ENSDARG00000008188	ENSDARG00000011579	ENSDARG00000016725	ENSDARG00000024017	ENSDARG00000037533	ENSDARG00000051890
ENSDARG00000014208	ENSDARG00000008333	ENSDARG00000011582	ENSDARG00000016830	ENSDARG00000024575	ENSDARG00000037758	ENSDARG00000052097
ENSDARG00000014480	ENSDARG00000008377	ENSDARG00000011594	ENSDARG00000017107	ENSDARG00000025106	ENSDARG00000038011	ENSDARG00000052188
ENSDARG00000014680	ENSDARG00000008403	ENSDARG00000011648	ENSDARG00000017168	ENSDARG00000025658	ENSDARG00000038293	ENSDARG00000052332
ENSDARG00000014994	ENSDARG00000008784	ENSDARG00000011673	ENSDARG00000017474	ENSDARG00000025671	ENSDARG00000038296	ENSDARG00000052433
ENSDARG00000015176	ENSDARG00000008818	ENSDARG00000011701	ENSDARG00000017615	ENSDARG00000025728	ENSDARG00000038367	ENSDARG00000052447
ENSDARG00000015524	ENSDARG00000009273	ENSDARG00000011724	ENSDARG00000017673	ENSDARG00000025747	ENSDARG00000038372	ENSDARG00000052899
ENSDARG00000015860	ENSDARG00000009336	ENSDARG00000011785	ENSDARG00000017681	ENSDARG00000025891	ENSDARG00000038587	ENSDARG00000052900
ENSDARG00000015907	ENSDARG00000009471	ENSDARG00000012553	ENSDARG00000018025	ENSDARG00000026229	ENSDARG00000039116	ENSDARG00000053136
ENSDARG00000016396	ENSDARG00000009484	ENSDARG00000012824	ENSDARG00000018321	ENSDARG00000026333	ENSDARG00000039439	ENSDARG00000053728
ENSDARG00000017173	ENSDARG00000009582	ENSDARG00000013004	ENSDARG00000018423	ENSDARG00000026383	ENSDARG00000039964	ENSDARG00000053833
ENSDARG00000017316	ENSDARG00000009629	ENSDARG00000013441	ENSDARG00000018492	ENSDARG00000026840	ENSDARG00000040252	ENSDARG00000054136
ENSDARG00000017359	ENSDARG00000009737	ENSDARG00000013533	ENSDARG00000018508	ENSDARG00000027285	ENSDARG00000040466	ENSDARG00000054968
ENSDARG00000017545	ENSDARG00000009740	ENSDARG00000014050	ENSDARG00000018534	ENSDARG00000027738	ENSDARG00000040643	ENSDARG00000055567
ENSDARG00000017703	ENSDARG00000009862	ENSDARG00000014101	ENSDARG00000018958	ENSDARG00000028552	ENSDARG00000040736	ENSDARG00000055705
ENSDARG00000018110	ENSDARG00000009871	ENSDARG00000014147	ENSDARG00000019013	ENSDARG00000028846	ENSDARG00000040738	ENSDARG00000056077
ENSDARG00000018206	ENSDARG00000009905	ENSDARG00000014180	ENSDARG00000019692	ENSDARG00000029057	ENSDARG00000040898	ENSDARG00000056501
ENSDARG00000018411	ENSDARG00000009933	ENSDARG00000014358	ENSDARG00000019713	ENSDARG00000029112	ENSDARG00000041433	ENSDARG00000056764
ENSDARG00000019103	ENSDARG00000009961	ENSDARG00000015072	ENSDARG00000019741	ENSDARG00000029590	ENSDARG00000041492	ENSDARG00000057582
ENSDARG00000019501	ENSDARG00000010124	ENSDARG00000015524	ENSDARG00000019835	ENSDARG00000030097	ENSDARG00000041540	ENSDARG00000058863
ENSDARG00000020009	ENSDARG00000010160	ENSDARG00000015554	ENSDARG00000019983	ENSDARG00000030411	ENSDARG00000041705	ENSDARG00000058945
ENSDARG00000020043	ENSDARG00000010246	ENSDARG00000015559	ENSDARG00000020028	ENSDARG00000030614	ENSDARG00000041787	ENSDARG00000058958
ENSDARG00000020134	ENSDARG00000010250	ENSDARG00000015674	ENSDARG00000020080	ENSDARG00000030832	ENSDARG00000041848	ENSDARG00000059000
ENSDARG00000020145	ENSDARG00000010481	ENSDARG00000015759	ENSDARG00000020122	ENSDARG00000031013	ENSDARG00000042178	ENSDARG00000059008
ENSDARG00000020354	ENSDARG00000010487	ENSDARG00000015790	ENSDARG00000020237	ENSDARG00000031049	ENSDARG00000042513	ENSDARG00000059855
ENSDARG00000020443	ENSDARG00000010571	ENSDARG00000015901	ENSDARG00000020482	ENSDARG00000031720	ENSDARG00000042562	ENSDARG00000060246
ENSDARG00000020656	ENSDARG00000011125	ENSDARG00000016153	ENSDARG00000020596	ENSDARG00000031875	ENSDARG00000042620	ENSDARG00000060325
ENSDARG00000020872	ENSDARG00000011190	ENSDARG00000016363	ENSDARG00000020961	ENSDARG00000032056	ENSDARG00000042644	ENSDARG00000061498
