Cleav.Blastula	Gastrula	Segmentation	Pharyngula	Larva	Juvenile	Adult
ENSDARG00000036569	ENSDARG00000016516	ENSDARG00000031337	ENSDARG00000038232	ENSDARG00000044629	ENSDARG00000062077	ENSDARG00000092561
ENSDARG00000036698	ENSDARG00000016630	ENSDARG00000031637	ENSDARG00000038267	ENSDARG00000044900	ENSDARG00000062132	ENSDARG00000092696
ENSDARG00000036852	ENSDARG00000016783	ENSDARG00000031763	ENSDARG00000038386	ENSDARG00000045016	ENSDARG00000062222	ENSDARG00000092868
ENSDARG00000036915	ENSDARG00000016871	ENSDARG00000032242	ENSDARG00000038590	ENSDARG00000045156	ENSDARG00000062618	ENSDARG00000093100
ENSDARG00000037405	ENSDARG00000017078	ENSDARG00000032264	ENSDARG00000038768	ENSDARG00000045275	ENSDARG00000063078	ENSDARG00000093376
ENSDARG00000037491	ENSDARG00000017084	ENSDARG00000032431	ENSDARG00000038867	ENSDARG00000045483	ENSDARG00000068290	ENSDARG00000093547
ENSDARG00000037537	ENSDARG00000017164	ENSDARG00000032485	ENSDARG00000038969	ENSDARG00000045799	ENSDARG00000068303	ENSDARG00000093712
ENSDARG00000037613	ENSDARG00000017397	ENSDARG00000032856	ENSDARG00000039453	ENSDARG00000045804	ENSDARG00000068387	ENSDARG00000093890
ENSDARG00000037773	ENSDARG00000017568	ENSDARG00000033134	ENSDARG00000039615	ENSDARG00000045945	ENSDARG00000068726	ENSDARG00000093972
ENSDARG00000037813	ENSDARG00000017696	ENSDARG00000033172	ENSDARG00000040159	ENSDARG00000051814	ENSDARG00000068876	ENSDARG00000094083
ENSDARG00000037924	ENSDARG00000017741	ENSDARG00000033266	ENSDARG00000040253	ENSDARG00000051827	ENSDARG00000068944	ENSDARG00000094132
ENSDARG00000038414	ENSDARG00000017762	ENSDARG00000033367	ENSDARG00000040265	ENSDARG00000051908	ENSDARG00000069133	ENSDARG00000094330
ENSDARG00000038543	ENSDARG00000017809	ENSDARG00000033616	ENSDARG00000040306	ENSDARG00000052035	ENSDARG00000069293	ENSDARG00000094425
ENSDARG00000038615	ENSDARG00000017821	ENSDARG00000033733	ENSDARG00000040321	ENSDARG00000052765	ENSDARG00000069294	ENSDARG00000094434
ENSDARG00000038754	ENSDARG00000017843	ENSDARG00000034013	ENSDARG00000040442	ENSDARG00000052769	ENSDARG00000069504	ENSDARG00000094665
ENSDARG00000038801	ENSDARG00000017917	ENSDARG00000034070	ENSDARG00000040946	ENSDARG00000052775	ENSDARG00000069512	ENSDARG00000094857
ENSDARG00000038812	ENSDARG00000018030	ENSDARG00000034093	ENSDARG00000041071	ENSDARG00000052982	ENSDARG00000069518	ENSDARG00000094886
ENSDARG00000039062	ENSDARG00000018049	ENSDARG00000034344	ENSDARG00000041776	ENSDARG00000053220	ENSDARG00000069615	ENSDARG00000094928
ENSDARG00000039270	ENSDARG00000018260	ENSDARG00000035423	ENSDARG00000042027	ENSDARG00000053480	ENSDARG00000069895	ENSDARG00000095042
ENSDARG00000039363	ENSDARG00000018303	ENSDARG00000035750	ENSDARG00000042029	ENSDARG00000053487	ENSDARG00000070170	ENSDARG00000095050
ENSDARG00000039365	ENSDARG00000018319	ENSDARG00000035761	ENSDARG00000042032	ENSDARG00000053559	ENSDARG00000070304	ENSDARG00000095223
ENSDARG00000039613	ENSDARG00000018383	ENSDARG00000035860	ENSDARG00000042106	ENSDARG00000053592	ENSDARG00000070317	ENSDARG00000095297
ENSDARG00000039754	ENSDARG00000018406	ENSDARG00000035958	ENSDARG00000042515	ENSDARG00000053648	ENSDARG00000070529	ENSDARG00000095425
ENSDARG00000039989	ENSDARG00000018425	ENSDARG00000035984	ENSDARG00000042525	ENSDARG00000053665	ENSDARG00000070597	ENSDARG00000095693
ENSDARG00000040114	ENSDARG00000018434	ENSDARG00000036105	ENSDARG00000042810	ENSDARG00000053929	ENSDARG00000070774	ENSDARG00000095764
ENSDARG00000040152	ENSDARG00000018476	ENSDARG00000036231	ENSDARG00000042961	ENSDARG00000053987	ENSDARG00000070775	ENSDARG00000095790
ENSDARG00000040284	ENSDARG00000018574	ENSDARG00000036279	ENSDARG00000043322	ENSDARG00000054456	ENSDARG00000070857	ENSDARG00000095854
ENSDARG00000040387	ENSDARG00000018806	ENSDARG00000036371	ENSDARG00000043482	ENSDARG00000054667	ENSDARG00000070948	
ENSDARG00000040635	ENSDARG00000018847	ENSDARG00000036630	ENSDARG00000044062	ENSDARG00000054683	ENSDARG00000070996	
ENSDARG00000040707	ENSDARG00000018853	ENSDARG00000036930	ENSDARG00000044375	ENSDARG00000054744	ENSDARG00000071020	
ENSDARG00000040778	ENSDARG00000018889	ENSDARG00000037145	ENSDARG00000044669	ENSDARG00000054890	ENSDARG00000071216	
ENSDARG00000040966	ENSDARG00000018890	ENSDARG00000037362	ENSDARG00000044676	ENSDARG00000055183	ENSDARG00000071618	
ENSDARG00000041157	ENSDARG00000018902	ENSDARG00000037576	ENSDARG00000044695	ENSDARG00000055559	ENSDARG00000071622	
ENSDARG00000041162	ENSDARG00000018985	ENSDARG00000037837	ENSDARG00000044767	ENSDARG00000055589	ENSDARG00000073675	
ENSDARG00000041428	ENSDARG00000019004	ENSDARG00000037879	ENSDARG00000044895	ENSDARG00000055752	ENSDARG00000074036	
ENSDARG00000041565	ENSDARG00000019191	ENSDARG00000037961	ENSDARG00000044924	ENSDARG00000056004	ENSDARG00000074652	
ENSDARG00000041609	ENSDARG00000019365	ENSDARG00000038147	ENSDARG00000044954	ENSDARG00000056019	ENSDARG00000074698	
ENSDARG00000041915	ENSDARG00000019530	ENSDARG00000038205	ENSDARG00000045045	ENSDARG00000056084	ENSDARG00000074813	
ENSDARG00000042025	ENSDARG00000019659	ENSDARG00000038428	ENSDARG00000045143	ENSDARG00000056092	ENSDARG00000074816	
ENSDARG00000042270	ENSDARG00000019747	ENSDARG00000038446	ENSDARG00000045273	ENSDARG00000056105	ENSDARG00000075029	
ENSDARG00000042396	ENSDARG00000019765	ENSDARG00000038868	ENSDARG00000045301	ENSDARG00000056214	ENSDARG00000075159	
ENSDARG00000042623	ENSDARG00000019797	ENSDARG00000038990	ENSDARG00000045367	ENSDARG00000056262	ENSDARG00000075161	
ENSDARG00000042727	ENSDARG00000019815	ENSDARG00000039041	ENSDARG00000045401	ENSDARG00000056753	ENSDARG00000075930	
ENSDARG00000042791	ENSDARG00000019920	ENSDARG00000039196	ENSDARG00000045544	ENSDARG00000056768	ENSDARG00000075932	
ENSDARG00000042825	ENSDARG00000019995	ENSDARG00000039412	ENSDARG00000045669	ENSDARG00000056797	ENSDARG00000076132	
ENSDARG00000042859	ENSDARG00000020311	ENSDARG00000039576	ENSDARG00000045758	ENSDARG00000056911	ENSDARG00000076313	
ENSDARG00000042909	ENSDARG00000020364	ENSDARG00000039578	ENSDARG00000045792	ENSDARG00000056979	ENSDARG00000076487	
ENSDARG00000042989	ENSDARG00000020465	ENSDARG00000039652	ENSDARG00000045936	ENSDARG00000057408	ENSDARG00000076848	
ENSDARG00000043003	ENSDARG00000020467	ENSDARG00000039974	ENSDARG00000046013	ENSDARG00000057427	ENSDARG00000076983	
ENSDARG00000043055	ENSDARG00000020482	ENSDARG00000040041	ENSDARG00000046090	ENSDARG00000057481	ENSDARG00000077504	
ENSDARG00000043095	ENSDARG00000020504	ENSDARG00000040266	ENSDARG00000051875	ENSDARG00000057728	ENSDARG00000077880	
ENSDARG00000043105	ENSDARG00000020645	ENSDARG00000040440	ENSDARG00000052061	ENSDARG00000057792	ENSDARG00000078134	
ENSDARG00000043185	ENSDARG00000021107	ENSDARG00000040557	ENSDARG00000052063	ENSDARG00000058103	ENSDARG00000078137	
ENSDARG00000043236	ENSDARG00000021201	ENSDARG00000040574	ENSDARG00000052094	ENSDARG00000058409	ENSDARG00000078253	
ENSDARG00000043302	ENSDARG00000021494	ENSDARG00000040695	ENSDARG00000052154	ENSDARG00000058646	ENSDARG00000078876	
ENSDARG00000043404	ENSDARG00000021566	ENSDARG00000040816	ENSDARG00000052377	ENSDARG00000058649	ENSDARG00000079210	
ENSDARG00000043548	ENSDARG00000021812	ENSDARG00000040893	ENSDARG00000052673	ENSDARG00000058944	ENSDARG00000079235	
ENSDARG00000044373	ENSDARG00000021945	ENSDARG00000040926	ENSDARG00000052695	ENSDARG00000059163	ENSDARG00000079296	
ENSDARG00000044417	ENSDARG00000022129	ENSDARG00000041033	ENSDARG00000052856	ENSDARG00000059311	ENSDARG00000079325	
ENSDARG00000044963	ENSDARG00000022232	ENSDARG00000041034	ENSDARG00000053066	ENSDARG00000059394	ENSDARG00000079443	
ENSDARG00000045506	ENSDARG00000022564	ENSDARG00000041490	ENSDARG00000053248	ENSDARG00000059534	ENSDARG00000079522	
ENSDARG00000045553	ENSDARG00000022983	ENSDARG00000041706	ENSDARG00000053262	ENSDARG00000059558	ENSDARG00000079924	
ENSDARG00000045880	ENSDARG00000023145	ENSDARG00000041895	ENSDARG00000053298	ENSDARG00000059616	ENSDARG00000086460	
ENSDARG00000045983	ENSDARG00000023188	ENSDARG00000042029	ENSDARG00000053301	ENSDARG00000059678	ENSDARG00000086616	
ENSDARG00000046054	ENSDARG00000023190	ENSDARG00000042032	ENSDARG00000053345	ENSDARG00000059773	ENSDARG00000086660	
ENSDARG00000046087	ENSDARG00000023330	ENSDARG00000042049	ENSDARG00000053453	ENSDARG00000059903	ENSDARG00000087002	
ENSDARG00000052025	ENSDARG00000023648	ENSDARG00000042252	ENSDARG00000053855	ENSDARG00000059978	ENSDARG00000087437	
ENSDARG00000052124	ENSDARG00000024189	ENSDARG00000042277	ENSDARG00000053875	ENSDARG00000060008	ENSDARG00000087460	
ENSDARG00000052290	ENSDARG00000024286	ENSDARG00000042375	ENSDARG00000054030	ENSDARG00000060025	ENSDARG00000087532	
ENSDARG00000052423	ENSDARG00000024561	ENSDARG00000042502	ENSDARG00000054087	ENSDARG00000060095	ENSDARG00000087622	
ENSDARG00000052482	ENSDARG00000024602	ENSDARG00000042627	ENSDARG00000054150	ENSDARG00000060116	ENSDARG00000087625	
ENSDARG00000052617	ENSDARG00000024651	ENSDARG00000042652	ENSDARG00000054321	ENSDARG00000060182	ENSDARG00000087983	
ENSDARG00000052668	ENSDARG00000024828	ENSDARG00000043137	ENSDARG00000054584	ENSDARG00000060330	ENSDARG00000088112	
ENSDARG00000053179	ENSDARG00000024895	ENSDARG00000043246	ENSDARG00000055052	ENSDARG00000060349	ENSDARG00000088912	
ENSDARG00000053505	ENSDARG00000025220	ENSDARG00000043686	ENSDARG00000055089	ENSDARG00000060601	ENSDARG00000088981	
ENSDARG00000053568	ENSDARG00000025332	ENSDARG00000043716	ENSDARG00000055093	ENSDARG00000060638	ENSDARG00000089156	
ENSDARG00000053840	ENSDARG00000025397	ENSDARG00000044075	ENSDARG00000055160	ENSDARG00000060854	ENSDARG00000089255	
ENSDARG00000053959	ENSDARG00000025403	ENSDARG00000044462	ENSDARG00000055370	ENSDARG00000060939	ENSDARG00000089661	
ENSDARG00000054301	ENSDARG00000025436	ENSDARG00000044545	ENSDARG00000055527	ENSDARG00000061049	ENSDARG00000090730	
ENSDARG00000054533	ENSDARG00000025577	ENSDARG00000044588	ENSDARG00000055900	ENSDARG00000061191	ENSDARG00000090899	
ENSDARG00000054748	ENSDARG00000025789	ENSDARG00000044669	ENSDARG00000056028	ENSDARG00000061636	ENSDARG00000091211	
ENSDARG00000055129	ENSDARG00000025899	ENSDARG00000044671	ENSDARG00000056175	ENSDARG00000061647	ENSDARG00000091273	
ENSDARG00000055525	ENSDARG00000026090	ENSDARG00000045045	ENSDARG00000056395	ENSDARG00000061718	ENSDARG00000091311	
ENSDARG00000055622	ENSDARG00000026180	ENSDARG00000045219	ENSDARG00000056400	ENSDARG00000061746	ENSDARG00000091864	
ENSDARG00000055730	ENSDARG00000026236	ENSDARG00000045248	ENSDARG00000056478	ENSDARG00000061753	ENSDARG00000092087	
ENSDARG00000055763	ENSDARG00000026296	ENSDARG00000045612	ENSDARG00000056483	ENSDARG00000061791	ENSDARG00000092204	
ENSDARG00000055889	ENSDARG00000026476	ENSDARG00000045641	ENSDARG00000056519	ENSDARG00000061945	ENSDARG00000092534	
ENSDARG00000056128	ENSDARG00000026489	ENSDARG00000045669	ENSDARG00000056531	ENSDARG00000062056	ENSDARG00000092728	
ENSDARG00000056294	ENSDARG00000026842	ENSDARG00000045776	ENSDARG00000056723	ENSDARG00000062086	ENSDARG00000092730	
ENSDARG00000056509	ENSDARG00000027109	ENSDARG00000045843	ENSDARG00000056725	ENSDARG00000062376	ENSDARG00000092764	
ENSDARG00000056515	ENSDARG00000027159	ENSDARG00000045893	ENSDARG00000056873	ENSDARG00000062400	ENSDARG00000093078	
ENSDARG00000056924	ENSDARG00000027183	ENSDARG00000046013	ENSDARG00000056920	ENSDARG00000062471	ENSDARG00000093116	
ENSDARG00000057016	ENSDARG00000027612	ENSDARG00000046045	ENSDARG00000056938	ENSDARG00000062686	ENSDARG00000093318	
ENSDARG00000057101	ENSDARG00000027918	ENSDARG00000051855	ENSDARG00000056950	ENSDARG00000062712	ENSDARG00000093384	
ENSDARG00000057110	ENSDARG00000028096	ENSDARG00000051962	ENSDARG00000057013	ENSDARG00000062720	ENSDARG00000093491	
ENSDARG00000057155	ENSDARG00000028119	ENSDARG00000052150	ENSDARG00000057148	ENSDARG00000062744	ENSDARG00000093600	
ENSDARG00000057249	ENSDARG00000028198	ENSDARG00000052294	ENSDARG00000057167	ENSDARG00000062889	ENSDARG00000093629	
ENSDARG00000057352	ENSDARG00000028323	ENSDARG00000052348	ENSDARG00000057316	ENSDARG00000062902	ENSDARG00000093844	
ENSDARG00000057374	ENSDARG00000028539	ENSDARG00000052402	ENSDARG00000057504	ENSDARG00000063007	ENSDARG00000093862	
ENSDARG00000057394	ENSDARG00000028541	ENSDARG00000052556	ENSDARG00000057575	ENSDARG00000063019	ENSDARG00000094438	
ENSDARG00000058562	ENSDARG00000029075	ENSDARG00000052610	ENSDARG00000057586	ENSDARG00000063035	ENSDARG00000094708	
ENSDARG00000058710	ENSDARG00000029248	ENSDARG00000052881	ENSDARG00000057772	ENSDARG00000063156	ENSDARG00000094778	
ENSDARG00000058711	ENSDARG00000029252	ENSDARG00000052893	ENSDARG00000057936	ENSDARG00000063157	ENSDARG00000094840	
ENSDARG00000058868	ENSDARG00000029356	ENSDARG00000052947	ENSDARG00000057975	ENSDARG00000063158	ENSDARG00000095175	
ENSDARG00000058874	ENSDARG00000029394	ENSDARG00000053569	ENSDARG00000058003	ENSDARG00000067841	ENSDARG00000095184	
ENSDARG00000059139	ENSDARG00000029431	ENSDARG00000053586	ENSDARG00000058008	ENSDARG00000068144	ENSDARG00000095355	
ENSDARG00000059233	ENSDARG00000029615	ENSDARG00000053656	ENSDARG00000058259	ENSDARG00000068370	ENSDARG00000095424	
ENSDARG00000059689	ENSDARG00000029722	ENSDARG00000053835	ENSDARG00000058284	ENSDARG00000068428	ENSDARG00000095509	
ENSDARG00000059973	ENSDARG00000029818	ENSDARG00000054025	ENSDARG00000058369	ENSDARG00000068480	ENSDARG00000095633	
ENSDARG00000060192	ENSDARG00000029911	ENSDARG00000054033	ENSDARG00000058379	ENSDARG00000068551	ENSDARG00000095730	
ENSDARG00000060259	ENSDARG00000030155	ENSDARG00000054054	ENSDARG00000058421	ENSDARG00000068582		
ENSDARG00000060361	ENSDARG00000030340	ENSDARG00000054103	ENSDARG00000059093	ENSDARG00000068657		
ENSDARG00000060484	ENSDARG00000030449	ENSDARG00000054155	ENSDARG00000059707	ENSDARG00000068661		
ENSDARG00000060596	ENSDARG00000030573	ENSDARG00000054196	ENSDARG00000059897	ENSDARG00000068716		
ENSDARG00000060763	ENSDARG00000030616	ENSDARG00000054446	ENSDARG00000060034	ENSDARG00000068989		
ENSDARG00000060868	ENSDARG00000030789	ENSDARG00000054454	ENSDARG00000060115	ENSDARG00000069038		
ENSDARG00000060907	ENSDARG00000030790	ENSDARG00000054575	ENSDARG00000060127	ENSDARG00000069223		
ENSDARG00000060981	ENSDARG00000030972	ENSDARG00000054619	ENSDARG00000060152	ENSDARG00000069245		
ENSDARG00000060991	ENSDARG00000031198	ENSDARG00000054879	ENSDARG00000060222	ENSDARG00000069254		
ENSDARG00000061000	ENSDARG00000031200	ENSDARG00000054906	ENSDARG00000060253	ENSDARG00000069291		
ENSDARG00000061194	ENSDARG00000031495	ENSDARG00000055026	ENSDARG00000060532	ENSDARG00000069598		
ENSDARG00000061265	ENSDARG00000031709	ENSDARG00000055133	ENSDARG00000060808	ENSDARG00000069607		
ENSDARG00000061437	ENSDARG00000031907	ENSDARG00000055229	ENSDARG00000060948	ENSDARG00000069669		
ENSDARG00000061549	ENSDARG00000032175	ENSDARG00000055581	ENSDARG00000061304	ENSDARG00000069701		
ENSDARG00000061644	ENSDARG00000032505	ENSDARG00000055715	ENSDARG00000062750	ENSDARG00000069737		
ENSDARG00000061651	ENSDARG00000032651	ENSDARG00000055945	ENSDARG00000062796	ENSDARG00000069765		
ENSDARG00000061682	ENSDARG00000032866	ENSDARG00000056023	ENSDARG00000062991	ENSDARG00000069806		
ENSDARG00000061723	ENSDARG00000033370	ENSDARG00000056029	ENSDARG00000067652	ENSDARG00000069827		
ENSDARG00000062044	ENSDARG00000033596	ENSDARG00000056030	ENSDARG00000067825	ENSDARG00000070173		
ENSDARG00000062078	ENSDARG00000033597	ENSDARG00000056130	ENSDARG00000068095	ENSDARG00000070321		
ENSDARG00000062114	ENSDARG00000033666	ENSDARG00000056133	ENSDARG00000068168	ENSDARG00000070341		
ENSDARG00000062168	ENSDARG00000033706	ENSDARG00000056186	ENSDARG00000068323	ENSDARG00000070467		
ENSDARG00000062177	ENSDARG00000033945	ENSDARG00000056247	ENSDARG00000068934	ENSDARG00000070538		
ENSDARG00000062181	ENSDARG00000033999	ENSDARG00000056594	ENSDARG00000068947	ENSDARG00000070575		
ENSDARG00000062307	ENSDARG00000034138	ENSDARG00000056666	ENSDARG00000068976	ENSDARG00000070680		
ENSDARG00000062770	ENSDARG00000034610	ENSDARG00000056783	ENSDARG00000069030	ENSDARG00000070781		
ENSDARG00000062884	ENSDARG00000034768	ENSDARG00000056819	ENSDARG00000069089	ENSDARG00000070907		
ENSDARG00000062949	ENSDARG00000034894	ENSDARG00000057062	ENSDARG00000069192	ENSDARG00000070931		
ENSDARG00000062976	ENSDARG00000035018	ENSDARG00000057142	ENSDARG00000069451	ENSDARG00000071209		
ENSDARG00000062986	ENSDARG00000035066	ENSDARG00000057683	ENSDARG00000069469	ENSDARG00000071333		
ENSDARG00000063032	ENSDARG00000035095	ENSDARG00000057691	ENSDARG00000069481	ENSDARG00000071394		
ENSDARG00000063079	ENSDARG00000035146	ENSDARG00000057721	ENSDARG00000069552	ENSDARG00000071506		
ENSDARG00000063270	ENSDARG00000035324	ENSDARG00000057770	ENSDARG00000069675	ENSDARG00000071823		
ENSDARG00000063359	ENSDARG00000035325	ENSDARG00000058011	ENSDARG00000069866	ENSDARG00000073707		
ENSDARG00000063525	ENSDARG00000035367	ENSDARG00000058042	ENSDARG00000070129	ENSDARG00000073812		
ENSDARG00000067546	ENSDARG00000035415	ENSDARG00000058203	ENSDARG00000070142	ENSDARG00000073824		
ENSDARG00000067549	ENSDARG00000035427	ENSDARG00000058256	ENSDARG00000070157	ENSDARG00000074001		
ENSDARG00000067670	ENSDARG00000035521	ENSDARG00000058292	ENSDARG00000070220	ENSDARG00000074213		
ENSDARG00000067950	ENSDARG00000035678	ENSDARG00000058458	ENSDARG00000070320	ENSDARG00000074328		
ENSDARG00000068165	ENSDARG00000035694	ENSDARG00000058525	ENSDARG00000070338	ENSDARG00000074329		
ENSDARG00000068231	ENSDARG00000035719	ENSDARG00000058819	ENSDARG00000070340	ENSDARG00000074363		
ENSDARG00000068484	ENSDARG00000035730	ENSDARG00000058822	ENSDARG00000070913	ENSDARG00000074469		
ENSDARG00000068575	ENSDARG00000035734	ENSDARG00000058903	ENSDARG00000070932	ENSDARG00000074781		
ENSDARG00000068894	ENSDARG00000035750	ENSDARG00000059053	ENSDARG00000070954	ENSDARG00000074833		
ENSDARG00000069009	ENSDARG00000035831	ENSDARG00000059256	ENSDARG00000070959	ENSDARG00000075012		
ENSDARG00000069037	ENSDARG00000035942	ENSDARG00000059263	ENSDARG00000071418	ENSDARG00000075098		
ENSDARG00000069420	ENSDARG00000035993	ENSDARG00000059267	ENSDARG00000071430	ENSDARG00000075183		
ENSDARG00000069501	ENSDARG00000036008	ENSDARG00000059269	ENSDARG00000071475	ENSDARG00000075222		
ENSDARG00000069542	ENSDARG00000036063	ENSDARG00000059276	ENSDARG00000071684	ENSDARG00000075277		
ENSDARG00000069661	ENSDARG00000036100	ENSDARG00000059280	ENSDARG00000073857	ENSDARG00000075547		
ENSDARG00000069745	ENSDARG00000036161	ENSDARG00000059303	ENSDARG00000073944	ENSDARG00000076192		
ENSDARG00000069763	ENSDARG00000036162	ENSDARG00000059367	ENSDARG00000074030	ENSDARG00000076268		
ENSDARG00000069796	ENSDARG00000036510	ENSDARG00000059398	ENSDARG00000074070	ENSDARG00000076351		
ENSDARG00000070098	ENSDARG00000036625	ENSDARG00000059498	ENSDARG00000074319	ENSDARG00000076364		
ENSDARG00000070272	ENSDARG00000036675	ENSDARG00000059738	ENSDARG00000074335	ENSDARG00000076401		
ENSDARG00000070463	ENSDARG00000036820	ENSDARG00000059948	ENSDARG00000074347	ENSDARG00000076797		
ENSDARG00000070470	ENSDARG00000036865	ENSDARG00000060004	ENSDARG00000074700	ENSDARG00000076998		
ENSDARG00000070570	ENSDARG00000036903	ENSDARG00000060106	ENSDARG00000074976	ENSDARG00000077096		
ENSDARG00000070621	ENSDARG00000036987	ENSDARG00000060397	ENSDARG00000075107	ENSDARG00000077141		
ENSDARG00000070675	ENSDARG00000037012	ENSDARG00000060413	ENSDARG00000075116	ENSDARG00000077165		
ENSDARG00000070919	ENSDARG00000037060	ENSDARG00000061187	ENSDARG00000075158	ENSDARG00000077367		
ENSDARG00000071524	ENSDARG00000037244	ENSDARG00000061328	ENSDARG00000075485	ENSDARG00000077428		
ENSDARG00000073862	ENSDARG00000037283	ENSDARG00000061478	ENSDARG00000075542	ENSDARG00000077556		
ENSDARG00000073985	ENSDARG00000037291	ENSDARG00000061509	ENSDARG00000076259	ENSDARG00000077730		
ENSDARG00000074098	ENSDARG00000037341	ENSDARG00000061547	ENSDARG00000076321	ENSDARG00000077868		
ENSDARG00000074195	ENSDARG00000037393	ENSDARG00000061735	ENSDARG00000076512	ENSDARG00000077893		
ENSDARG00000074238	ENSDARG00000037429	ENSDARG00000061794	ENSDARG00000076657	ENSDARG00000078141		
ENSDARG00000074244	ENSDARG00000037506	ENSDARG00000062152	ENSDARG00000076799	ENSDARG00000078302		
ENSDARG00000074286	ENSDARG00000037677	ENSDARG00000062262	ENSDARG00000076807	ENSDARG00000078327		
ENSDARG00000074356	ENSDARG00000037884	ENSDARG00000062326	ENSDARG00000076862	ENSDARG00000078461		
ENSDARG00000074381	ENSDARG00000037897	ENSDARG00000062402	ENSDARG00000077211	ENSDARG00000078647		
ENSDARG00000074485	ENSDARG00000037898	ENSDARG00000062463	ENSDARG00000077216	ENSDARG00000078665		
ENSDARG00000074533	ENSDARG00000037928	ENSDARG00000062517	ENSDARG00000077295	ENSDARG00000078671		
ENSDARG00000074540	ENSDARG00000037965	ENSDARG00000062785	ENSDARG00000077728	ENSDARG00000078755		
ENSDARG00000074737	ENSDARG00000038068	ENSDARG00000062824	ENSDARG00000077811	ENSDARG00000078902		
ENSDARG00000074850	ENSDARG00000038074	ENSDARG00000062892	ENSDARG00000077840	ENSDARG00000078940		
ENSDARG00000074868	ENSDARG00000038159	ENSDARG00000062948	ENSDARG00000078582	ENSDARG00000078965		
ENSDARG00000074899	ENSDARG00000038239	ENSDARG00000063333	ENSDARG00000078701	ENSDARG00000078971		
ENSDARG00000075143	ENSDARG00000038281	ENSDARG00000063416	ENSDARG00000079045	ENSDARG00000079004		
ENSDARG00000075194	ENSDARG00000038312	ENSDARG00000063558	ENSDARG00000079248	ENSDARG00000079119		
ENSDARG00000075461	ENSDARG00000038505	ENSDARG00000067984	ENSDARG00000079302	ENSDARG00000079294		
ENSDARG00000075525	ENSDARG00000038569	ENSDARG00000068191	ENSDARG00000079305	ENSDARG00000079366		
ENSDARG00000075530	ENSDARG00000038695	ENSDARG00000068567	ENSDARG00000079613	ENSDARG00000079423		
ENSDARG00000075977	ENSDARG00000038703	ENSDARG00000068910	ENSDARG00000079879	ENSDARG00000079500		
ENSDARG00000076214	ENSDARG00000038792	ENSDARG00000068993	ENSDARG00000081311	ENSDARG00000079700		
ENSDARG00000076308	ENSDARG00000038843	ENSDARG00000069307	ENSDARG00000086222	ENSDARG00000079781		
ENSDARG00000076584	ENSDARG00000038909	ENSDARG00000069692	ENSDARG00000086327	ENSDARG00000079908		
ENSDARG00000076885	ENSDARG00000038954	ENSDARG00000069823	ENSDARG00000086393	ENSDARG00000086030		
ENSDARG00000076913	ENSDARG00000039162	ENSDARG00000069929	ENSDARG00000086543	ENSDARG00000086214		
ENSDARG00000076964	ENSDARG00000039213	ENSDARG00000069932	ENSDARG00000087105	ENSDARG00000086453		
ENSDARG00000077011	ENSDARG00000039263	ENSDARG00000069989	ENSDARG00000087254	ENSDARG00000086912		
ENSDARG00000077166	ENSDARG00000039378	ENSDARG00000070311	ENSDARG00000087977	ENSDARG00000087100		
ENSDARG00000077316	ENSDARG00000039443	ENSDARG00000070337	ENSDARG00000088178	ENSDARG00000087635		
ENSDARG00000077494	ENSDARG00000039512	ENSDARG00000070339	ENSDARG00000088593	ENSDARG00000087659		
ENSDARG00000077623	ENSDARG00000039596	ENSDARG00000070352	ENSDARG00000088717	ENSDARG00000088116		
ENSDARG00000077823	ENSDARG00000040031	ENSDARG00000070474	ENSDARG00000088816	ENSDARG00000088323		
ENSDARG00000077988	ENSDARG00000040110	ENSDARG00000070538	ENSDARG00000089009	ENSDARG00000088331		
ENSDARG00000078381	ENSDARG00000040111	ENSDARG00000070670	ENSDARG00000089195	ENSDARG00000088377		
ENSDARG00000078415	ENSDARG00000040184	ENSDARG00000070677	ENSDARG00000089334	ENSDARG00000088541		
ENSDARG00000078574	ENSDARG00000040216	ENSDARG00000070694	ENSDARG00000089805	ENSDARG00000088593		
ENSDARG00000078618	ENSDARG00000040245	ENSDARG00000070769	ENSDARG00000090023	ENSDARG00000089262		
ENSDARG00000078789	ENSDARG00000040299	ENSDARG00000070794	ENSDARG00000090190	ENSDARG00000089314		
ENSDARG00000078954	ENSDARG00000040309	ENSDARG00000070959	ENSDARG00000090268	ENSDARG00000089522		
ENSDARG00000079067	ENSDARG00000040310	ENSDARG00000071105	ENSDARG00000090464	ENSDARG00000089766		
ENSDARG00000079102	ENSDARG00000040431	ENSDARG00000071208	ENSDARG00000090467	ENSDARG00000089883		
ENSDARG00000079423	ENSDARG00000040452	ENSDARG00000071212	ENSDARG00000090872	ENSDARG00000090064		
ENSDARG00000079512	ENSDARG00000040523	ENSDARG00000071357	ENSDARG00000091419	ENSDARG00000090564		
ENSDARG00000079552	ENSDARG00000040564	ENSDARG00000071426	ENSDARG00000091511	ENSDARG00000090760		
ENSDARG00000079686	ENSDARG00000040730	ENSDARG00000071448	ENSDARG00000091513	ENSDARG00000090892		
ENSDARG00000079788	ENSDARG00000040955	ENSDARG00000071496	ENSDARG00000091683	ENSDARG00000091191		
ENSDARG00000079862	ENSDARG00000041080	ENSDARG00000071497	ENSDARG00000091756	ENSDARG00000091203		
ENSDARG00000079881	ENSDARG00000041155	ENSDARG00000071585	ENSDARG00000091961	ENSDARG00000091785		
